Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-31 14:16:29+00:00,1531640764530364417,@NatalieMartyn1 School uniform prices are ridiculous. Paying upfront for therapy is such a great idea. Why don't therapists sell gift vouchers? That would make a great gift. (obviously for a person who you are very close to and know would appreciate it - otherwise it would be awks 👀),TamiMagnin,Cape Town,1,0,0,0,"Writing words with worth. Get in touch if you need blog posts, newsletters, web content etc. See pinned tweet for link to WIP portfolio.",1933,,school uniform prices are ridiculous paying upfront for therapy is such a great idea why dont therapists sell gift vouchers that would make a great gift obviously for a person who you are very close to and know would appreciate it otherwise it would be awks,"['school', 'uniform', 'prices', 'are', 'ridiculous', 'paying', 'upfront', 'for', 'therapy', 'is', 'such', 'a', 'great', 'idea', 'why', 'dont', 'therapists', 'sell', 'gift', 'vouchers', 'that', 'would', 'make', 'a', 'great', 'gift', 'obviously', 'for', 'a', 'person', 'who', 'you', 'are', 'very', 'close', 'to', 'and', 'know', 'would', 'appreciate', 'it', 'otherwise', 'it', 'would', 'be', 'awks']","['school', 'uniform', 'prices', 'ridiculous', 'paying', 'upfront', 'therapy', 'great', 'idea', 'dont', 'therapists', 'sell', 'gift', 'vouchers', 'would', 'make', 'great', 'gift', 'obviously', 'person', 'close', 'know', 'would', 'appreciate', 'otherwise', 'would', 'awks']","['school', 'uniform', 'price', 'ridicul', 'pay', 'upfront', 'therapi', 'great', 'idea', 'dont', 'therapist', 'sell', 'gift', 'voucher', 'would', 'make', 'great', 'gift', 'obvious', 'person', 'close', 'know', 'would', 'appreci', 'otherwis', 'would', 'awk']","['school', 'uniform', 'prices', 'ridiculous', 'paying', 'upfront', 'therapy', 'great', 'idea', 'dont', 'therapists', 'sell', 'gift', 'vouchers', 'would', 'make', 'great', 'gift', 'obviously', 'person', 'close', 'know', 'would', 'appreciate', 'otherwise', 'would', 'awks']",1,South Africa
2022-05-29 17:49:30+00:00,1530969595904917505,"3. Live in the present

Today is a gift.

Appreciate everything you have;

• Your family
• Your health
• Your experiences

When you realise everything you have, you feel more blessed, happier and joyful in life.",TheGentsCorner1,South Africa,0,1,0,0,An account dedicated to the upliftment of South African Men.,573,,3 live in the present today is a gift appreciate everything you have your family your health your experiences when you realise everything you have you feel more blessed happier and joyful in life,"['3', 'live', 'in', 'the', 'present', 'today', 'is', 'a', 'gift', 'appreciate', 'everything', 'you', 'have', 'your', 'family', 'your', 'health', 'your', 'experiences', 'when', 'you', 'realise', 'everything', 'you', 'have', 'you', 'feel', 'more', 'blessed', 'happier', 'and', 'joyful', 'in', 'life']","['3', 'live', 'present', 'today', 'gift', 'appreciate', 'everything', 'family', 'health', 'experiences', 'realise', 'everything', 'feel', 'blessed', 'happier', 'joyful', 'life']","['3', 'live', 'present', 'today', 'gift', 'appreci', 'everyth', 'famili', 'health', 'experi', 'realis', 'everyth', 'feel', 'bless', 'happier', 'joy', 'life']","['3', 'live', 'present', 'today', 'gift', 'appreciate', 'everything', 'family', 'health', 'experiences', 'realise', 'everything', 'feel', 'blessed', 'happier', 'joyful', 'life']",5,South Africa
2022-04-22 13:56:13+00:00,1517502537808715777,"Best uncle ever @Etsa_GP 

Thank you so much for the birthday gifts. I appreciate the love you always show on Thato's birthday. God bless your kind heart big bro❤ https://t.co/kg8zQoO177",Bongs_Mahlangu,012 Mams ,165,2,15,0,A mom to a boy😍 Owner ya B's Atchar. Place an order on 0815395582❤ for business or promo 📧 elsiemahlangu6@gmail.com,179541,,best uncle ever thank you so much for the birthday gifts i appreciate the love you always show on thatos birthday god bless your kind heart big bro,"['best', 'uncle', 'ever', 'thank', 'you', 'so', 'much', 'for', 'the', 'birthday', 'gifts', 'i', 'appreciate', 'the', 'love', 'you', 'always', 'show', 'on', 'thatos', 'birthday', 'god', 'bless', 'your', 'kind', 'heart', 'big', 'bro']","['best', 'uncle', 'ever', 'thank', 'much', 'birthday', 'gifts', 'appreciate', 'love', 'always', 'show', 'thatos', 'birthday', 'god', 'bless', 'kind', 'heart', 'big', 'bro']","['best', 'uncl', 'ever', 'thank', 'much', 'birthday', 'gift', 'appreci', 'love', 'alway', 'show', 'thato', 'birthday', 'god', 'bless', 'kind', 'heart', 'big', 'bro']","['best', 'uncle', 'ever', 'thank', 'much', 'birthday', 'gifts', 'appreciate', 'love', 'always', 'show', 'thatos', 'birthday', 'god', 'bless', 'kind', 'heart', 'big', 'bro']",5,South Africa
2022-03-12 18:14:10+00:00,1502709549953953802,True bless you doctors my daughter was gifted a dolphin by one of you guys. Keep up the good work we appreciate you! https://t.co/EDZXE6FzVl,Sithole_Alie,"Musina, South Africa ",0,0,0,0,Good vibes|| Ropafadzo's dad||,2173,,true bless you doctors my daughter was gifted a dolphin by one of you guys keep up the good work we appreciate you,"['true', 'bless', 'you', 'doctors', 'my', 'daughter', 'was', 'gifted', 'a', 'dolphin', 'by', 'one', 'of', 'you', 'guys', 'keep', 'up', 'the', 'good', 'work', 'we', 'appreciate', 'you']","['true', 'bless', 'doctors', 'daughter', 'gifted', 'dolphin', 'one', 'guys', 'keep', 'good', 'work', 'appreciate']","['true', 'bless', 'doctor', 'daughter', 'gift', 'dolphin', 'one', 'guy', 'keep', 'good', 'work', 'appreci']","['true', 'bless', 'doctors', 'daughter', 'gifted', 'dolphin', 'one', 'guys', 'keep', 'good', 'work', 'appreciate']",5,South Africa
2022-02-07 07:58:54+00:00,1490595912137134081,Monday’s are good days to start over 🙏🏽 Appreciate the gift of health 🏋🏾‍♂️ #cardio  #strenth 💪🏽💪🏽#cardioexercise #cardioworkout #cardioexercises #getupandmove #getupandgo @ Mabopane Morula Veiw https://t.co/3NvVtFtYHH,ManyMoreDj,SA Jozi,0,0,0,0,"Views shared here, are expressed without prejudice! & do not form nor define who am I entirely yet form part of @ManymoreDj! RT: is not an endorsement! Producer",452,"['cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo']",mondays are good days to start over appreciate the gift of health cardio strenth cardioexercise cardioworkout cardioexercises getupandmove getupandgo mabopane morula veiw,"['mondays', 'are', 'good', 'days', 'to', 'start', 'over', 'appreciate', 'the', 'gift', 'of', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']","['mondays', 'good', 'days', 'start', 'appreciate', 'gift', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']","['monday', 'good', 'day', 'start', 'appreci', 'gift', 'health', 'cardio', 'strenth', 'cardioexercis', 'cardioworkout', 'cardioexercis', 'getupandmov', 'getupandgo', 'mabopan', 'morula', 'veiw']","['mondays', 'good', 'days', 'start', 'appreciate', 'gift', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']",4,South Africa
2022-02-04 06:57:39+00:00,1489493334695583747,"Soft #cardio for #cycling tomorrow, giving it more time 🙏🏽 Appreciate the gift of health 🏋🏾‍♂️ #cardio  #strenth 💪🏽💪🏽#cardioexercise #cardioworkout #cardioexercises #getupandmove #getupandgo @ Mabopane Morula Veiw https://t.co/4c5gsPWxW1",ManyMoreDj,SA Jozi,1,0,0,0,"Views shared here, are expressed without prejudice! & do not form nor define who am I entirely yet form part of @ManymoreDj! RT: is not an endorsement! Producer",452,"['cardio', 'cycling', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo']",soft cardio for cycling tomorrow giving it more time appreciate the gift of health cardio strenth cardioexercise cardioworkout cardioexercises getupandmove getupandgo mabopane morula veiw,"['soft', 'cardio', 'for', 'cycling', 'tomorrow', 'giving', 'it', 'more', 'time', 'appreciate', 'the', 'gift', 'of', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']","['soft', 'cardio', 'cycling', 'tomorrow', 'giving', 'time', 'appreciate', 'gift', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']","['soft', 'cardio', 'cycl', 'tomorrow', 'give', 'time', 'appreci', 'gift', 'health', 'cardio', 'strenth', 'cardioexercis', 'cardioworkout', 'cardioexercis', 'getupandmov', 'getupandgo', 'mabopan', 'morula', 'veiw']","['soft', 'cardio', 'cycling', 'tomorrow', 'giving', 'time', 'appreciate', 'gift', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']",4,South Africa
2022-01-22 11:02:08+00:00,1484843819216560128,"A heart of love is always one that cares deep within. When u wake up to a gift made of love you just know your loved. Appreciate those who love you.
A blessed weekend!",lebo_teddybear,Volksrust,0,0,0,0,"Life is what we breath every day....

Teddy Bear",396,,a heart of love is always one that cares deep within when u wake up to a gift made of love you just know your loved appreciate those who love you a blessed weekend,"['a', 'heart', 'of', 'love', 'is', 'always', 'one', 'that', 'cares', 'deep', 'within', 'when', 'u', 'wake', 'up', 'to', 'a', 'gift', 'made', 'of', 'love', 'you', 'just', 'know', 'your', 'loved', 'appreciate', 'those', 'who', 'love', 'you', 'a', 'blessed', 'weekend']","['heart', 'love', 'always', 'one', 'cares', 'deep', 'within', 'u', 'wake', 'gift', 'made', 'love', 'know', 'loved', 'appreciate', 'love', 'blessed', 'weekend']","['heart', 'love', 'alway', 'one', 'care', 'deep', 'within', 'u', 'wake', 'gift', 'made', 'love', 'know', 'love', 'appreci', 'love', 'bless', 'weekend']","['heart', 'love', 'always', 'one', 'cares', 'deep', 'within', 'u', 'wake', 'gift', 'made', 'love', 'know', 'loved', 'appreciate', 'love', 'blessed', 'weekend']",5,South Africa
2022-01-20 07:13:48+00:00,1484061583785566210,Keeping my heart going 💓💓💓💓💓🙏🏽 Appreciate the gift of health 🏋🏾‍♂️ #cardio  #strenth 💪🏽💪🏽#cardioexercise #cardioworkout #cardioexercises #getupandmove #getupandgo @ Mabopane Morula Veiw https://t.co/SZ0eXxky5r,ManyMoreDj,SA Jozi,0,0,0,0,"Views shared here, are expressed without prejudice! & do not form nor define who am I entirely yet form part of @ManymoreDj! RT: is not an endorsement! Producer",452,"['cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo']",keeping my heart going appreciate the gift of health cardio strenth cardioexercise cardioworkout cardioexercises getupandmove getupandgo mabopane morula veiw,"['keeping', 'my', 'heart', 'going', 'appreciate', 'the', 'gift', 'of', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']","['keeping', 'heart', 'going', 'appreciate', 'gift', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']","['keep', 'heart', 'go', 'appreci', 'gift', 'health', 'cardio', 'strenth', 'cardioexercis', 'cardioworkout', 'cardioexercis', 'getupandmov', 'getupandgo', 'mabopan', 'morula', 'veiw']","['keeping', 'heart', 'going', 'appreciate', 'gift', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']",4,South Africa
2022-01-13 11:59:46+00:00,1481596833235456002,"The biggest gift we tend to take lightly is good health, appreciate it ❤️",maputlakatlego,"Boksburg, South Africa",8,0,1,0,A Creative / Fitness / Father / Head of Media @ceetunltd / Podcast Host / Deep & Soulful House DJ / IT Professional / #FOCC / #UrbanArtMusicPodcast,4412,,the biggest gift we tend to take lightly is good health appreciate it,"['the', 'biggest', 'gift', 'we', 'tend', 'to', 'take', 'lightly', 'is', 'good', 'health', 'appreciate', 'it']","['biggest', 'gift', 'tend', 'take', 'lightly', 'good', 'health', 'appreciate']","['biggest', 'gift', 'tend', 'take', 'lightli', 'good', 'health', 'appreci']","['biggest', 'gift', 'tend', 'take', 'lightly', 'good', 'health', 'appreciate']",5,South Africa
2022-01-10 08:38:56+00:00,1480459128040562690,Decided to start again 🙏🏽 Appreciate the gift of health 🏋🏾‍♂️ #cardio  #strenth 💪🏽💪🏽#cardioexercise #cardioworkout #cardioexercises #getupandmove #getupandgo @ Mabopane Morula Veiw https://t.co/opOtxU6KWU,ManyMoreDj,SA Jozi,0,0,0,0,"Views shared here, are expressed without prejudice! & do not form nor define who am I entirely yet form part of @ManymoreDj! RT: is not an endorsement! Producer",452,"['cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo']",decided to start again appreciate the gift of health cardio strenth cardioexercise cardioworkout cardioexercises getupandmove getupandgo mabopane morula veiw,"['decided', 'to', 'start', 'again', 'appreciate', 'the', 'gift', 'of', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']","['decided', 'start', 'appreciate', 'gift', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']","['decid', 'start', 'appreci', 'gift', 'health', 'cardio', 'strenth', 'cardioexercis', 'cardioworkout', 'cardioexercis', 'getupandmov', 'getupandgo', 'mabopan', 'morula', 'veiw']","['decided', 'start', 'appreciate', 'gift', 'health', 'cardio', 'strenth', 'cardioexercise', 'cardioworkout', 'cardioexercises', 'getupandmove', 'getupandgo', 'mabopane', 'morula', 'veiw']",4,South Africa
2021-11-16 20:06:08+00:00,1460700736245878793,"Appreciation tweet for @DjteeSA_

A friend like you is the most precious gift anyone can receive from God. I want to Thank You for being my one and only friend 
I appreciate everything you do for me with so much care. No words can convey my gratitude for the support I received.",Youngprinzy21,"Johannesburg, South Africa",4,1,1,0,"*musician 🎤
*Actor 🎬
*Voiceovers 
*Commercialmodel 
*Brand Ambassador
 * BOMU AWARD NOMINEE 2017
*FutureMillionaire
#youngprince 

For Booking only 0717954231",12907,,appreciation tweet for a friend like you is the most precious gift anyone can receive from god i want to thank you for being my one and only friend i appreciate everything you do for me with so much care no words can convey my gratitude for the support i received,"['appreciation', 'tweet', 'for', 'a', 'friend', 'like', 'you', 'is', 'the', 'most', 'precious', 'gift', 'anyone', 'can', 'receive', 'from', 'god', 'i', 'want', 'to', 'thank', 'you', 'for', 'being', 'my', 'one', 'and', 'only', 'friend', 'i', 'appreciate', 'everything', 'you', 'do', 'for', 'me', 'with', 'so', 'much', 'care', 'no', 'words', 'can', 'convey', 'my', 'gratitude', 'for', 'the', 'support', 'i', 'received']","['appreciation', 'tweet', 'friend', 'like', 'precious', 'gift', 'anyone', 'receive', 'god', 'want', 'thank', 'one', 'friend', 'appreciate', 'everything', 'much', 'care', 'words', 'convey', 'gratitude', 'support', 'received']","['appreci', 'tweet', 'friend', 'like', 'preciou', 'gift', 'anyon', 'receiv', 'god', 'want', 'thank', 'one', 'friend', 'appreci', 'everyth', 'much', 'care', 'word', 'convey', 'gratitud', 'support', 'receiv']","['appreciation', 'tweet', 'friend', 'like', 'precious', 'gift', 'anyone', 'receive', 'god', 'want', 'thank', 'one', 'friend', 'appreciate', 'everything', 'much', 'care', 'words', 'convey', 'gratitude', 'support', 'received']",5,South Africa
