Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 16:51:59+00:00,1532404674409676800,"Big thanks due to the following people, all artists I admire, may I say, who collected from my recent mints(in order of purchasing):@eccaro @losmorlacos @Pollomoolokki @NakedGalina Really appreciate your support❤️🙏🍉 https://t.co/qcHNRIPzJA",3sliced,Tarragona,14,2,5,1,"Artist, techno producer.
objkt.com/profile/tz1SCP…",316,,big thanks due to the following people all artists i admire may i say who collected from my recent mintsin order of purchasing really appreciate your support,"['big', 'thanks', 'due', 'to', 'the', 'following', 'people', 'all', 'artists', 'i', 'admire', 'may', 'i', 'say', 'who', 'collected', 'from', 'my', 'recent', 'mintsin', 'order', 'of', 'purchasing', 'really', 'appreciate', 'your', 'support']","['big', 'thanks', 'due', 'following', 'people', 'artists', 'admire', 'may', 'say', 'collected', 'recent', 'mintsin', 'order', 'purchasing', 'really', 'appreciate', 'support']","['big', 'thank', 'due', 'follow', 'peopl', 'artist', 'admir', 'may', 'say', 'collect', 'recent', 'mintsin', 'order', 'purchas', 'realli', 'appreci', 'support']","['big', 'thanks', 'due', 'following', 'people', 'artists', 'admire', 'may', 'say', 'collected', 'recent', 'mintsin', 'order', 'purchasing', 'really', 'appreciate', 'support']",5,Spain
2022-06-02 02:34:01+00:00,1532188759625715712,"If you missed my thoughts, I'm going to be trying some new games &amp; ideas on stream! I talked with chat with how scared I am about it. 

Chat killed it &amp; I feel more supported than ever. Thank you. 💜

SO to @AlliOverAllison &amp; andymatter for the raids! 💜 Appreciate you both :) https://t.co/zNMzTCIDqR",herokerrey,Merica,21,1,0,0,"Hi! I'm Kelley~ I'm a high energy, silly chaotic variety streamer. Come on by for inappropriate jokes and cool dog tricks. ✨ @softgiving partner",365,,if you missed my thoughts im going to be trying some new games amp ideas on stream i talked with chat with how scared i am about it chat killed it amp i feel more supported than ever thank you so to amp andymatter for the raids appreciate you both,"['if', 'you', 'missed', 'my', 'thoughts', 'im', 'going', 'to', 'be', 'trying', 'some', 'new', 'games', 'amp', 'ideas', 'on', 'stream', 'i', 'talked', 'with', 'chat', 'with', 'how', 'scared', 'i', 'am', 'about', 'it', 'chat', 'killed', 'it', 'amp', 'i', 'feel', 'more', 'supported', 'than', 'ever', 'thank', 'you', 'so', 'to', 'amp', 'andymatter', 'for', 'the', 'raids', 'appreciate', 'you', 'both']","['missed', 'thoughts', 'im', 'going', 'trying', 'new', 'games', 'amp', 'ideas', 'stream', 'talked', 'chat', 'scared', 'chat', 'killed', 'amp', 'feel', 'supported', 'ever', 'thank', 'amp', 'andymatter', 'raids', 'appreciate']","['miss', 'thought', 'im', 'go', 'tri', 'new', 'game', 'amp', 'idea', 'stream', 'talk', 'chat', 'scare', 'chat', 'kill', 'amp', 'feel', 'support', 'ever', 'thank', 'amp', 'andymatt', 'raid', 'appreci']","['missed', 'thoughts', 'im', 'going', 'trying', 'new', 'games', 'amp', 'ideas', 'stream', 'talked', 'chat', 'scared', 'chat', 'killed', 'amp', 'feel', 'supported', 'ever', 'thank', 'amp', 'andymatter', 'raids', 'appreciate']",5,Spain
2021-11-10 09:19:14+00:00,1458363612620333057,@HolomediaVn Yessss! I believe in it🤞 I was so scared about finding my audience and my collector because I get used to Instagram where it’s not that friendly as here..but now I feel blessed omg I believe it’s a good start and appreciate so much for support ♥️✨,narisofka,Spain,2,1,0,0,🌙 𝖘𝖔𝖋í𝖆 // illustrator/creatures creator ✨🔫 DUDES & LADIES #FluxTribe #EvolGang 🤙 @cryptoladygang 💅🏻,5129,,yessss i believe in it i was so scared about finding my audience and my collector because i get used to instagram where its not that friendly as herebut now i feel blessed omg i believe its a good start and appreciate so much for support,"['yessss', 'i', 'believe', 'in', 'it', 'i', 'was', 'so', 'scared', 'about', 'finding', 'my', 'audience', 'and', 'my', 'collector', 'because', 'i', 'get', 'used', 'to', 'instagram', 'where', 'its', 'not', 'that', 'friendly', 'as', 'herebut', 'now', 'i', 'feel', 'blessed', 'omg', 'i', 'believe', 'its', 'a', 'good', 'start', 'and', 'appreciate', 'so', 'much', 'for', 'support']","['yessss', 'believe', 'scared', 'finding', 'audience', 'collector', 'get', 'used', 'instagram', 'friendly', 'herebut', 'feel', 'blessed', 'omg', 'believe', 'good', 'start', 'appreciate', 'much', 'support']","['yessss', 'believ', 'scare', 'find', 'audienc', 'collector', 'get', 'use', 'instagram', 'friendli', 'herebut', 'feel', 'bless', 'omg', 'believ', 'good', 'start', 'appreci', 'much', 'support']","['yessss', 'believe', 'scared', 'finding', 'audience', 'collector', 'get', 'used', 'instagram', 'friendly', 'herebut', 'feel', 'blessed', 'omg', 'believe', 'good', 'start', 'appreciate', 'much', 'support']",5,Spain
2021-11-09 22:08:18+00:00,1458194763820277767,"I am so happy and appreciate million times for your support @kid_button 💔 thank you for becoming my collector and investing in my art, you gave me the best feeling that I felt in my art career 🥺✨

“YELLOW DUDE” is already SOLD OUT! https://t.co/VpJpZYZ3Rh",narisofka,Spain,6,0,1,0,🌙 𝖘𝖔𝖋í𝖆 // illustrator/creatures creator ✨🔫 DUDES & LADIES #FluxTribe #EvolGang 🤙 @cryptoladygang 💅🏻,5129,,i am so happy and appreciate million times for your support thank you for becoming my collector and investing in my art you gave me the best feeling that i felt in my art career yellow dude is already sold out,"['i', 'am', 'so', 'happy', 'and', 'appreciate', 'million', 'times', 'for', 'your', 'support', 'thank', 'you', 'for', 'becoming', 'my', 'collector', 'and', 'investing', 'in', 'my', 'art', 'you', 'gave', 'me', 'the', 'best', 'feeling', 'that', 'i', 'felt', 'in', 'my', 'art', 'career', 'yellow', 'dude', 'is', 'already', 'sold', 'out']","['happy', 'appreciate', 'million', 'times', 'support', 'thank', 'becoming', 'collector', 'investing', 'art', 'gave', 'best', 'feeling', 'felt', 'art', 'career', 'yellow', 'dude', 'already', 'sold']","['happi', 'appreci', 'million', 'time', 'support', 'thank', 'becom', 'collector', 'invest', 'art', 'gave', 'best', 'feel', 'felt', 'art', 'career', 'yellow', 'dude', 'alreadi', 'sold']","['happy', 'appreciate', 'million', 'times', 'support', 'thank', 'becoming', 'collector', 'investing', 'art', 'gave', 'best', 'feeling', 'felt', 'art', 'career', 'yellow', 'dude', 'already', 'sold']",5,Spain
2021-05-31 18:32:26+00:00,1399433604711727110,https://t.co/c7JBLCSs1R last 30 mins to bid for wonderful prizes - every bid is helping #BreastCancer research &amp; care #Charity at it best....do consider bidding. Belinda Gray &amp; Team sincerely appreciate every bit of support given 👏👏👏,geewizzgee1,Suffolk England-Global Auction,2,1,0,0,"Campaigner, Founder GeeWizz Charity, Voluntary FUNdraiser, Ambassador Theatre Royal, W Suffolk College, Hospital & Sarcoma UK. Patron ISBC, Freelance Journalist",2444,"['BreastCancer', 'Charity']",last 30 mins to bid for wonderful prizes every bid is helping breastcancer research amp care charity at it bestdo consider bidding belinda gray amp team sincerely appreciate every bit of support given,"['last', '30', 'mins', 'to', 'bid', 'for', 'wonderful', 'prizes', 'every', 'bid', 'is', 'helping', 'breastcancer', 'research', 'amp', 'care', 'charity', 'at', 'it', 'bestdo', 'consider', 'bidding', 'belinda', 'gray', 'amp', 'team', 'sincerely', 'appreciate', 'every', 'bit', 'of', 'support', 'given']","['last', '30', 'mins', 'bid', 'wonderful', 'prizes', 'every', 'bid', 'helping', 'breastcancer', 'research', 'amp', 'care', 'charity', 'bestdo', 'consider', 'bidding', 'belinda', 'gray', 'amp', 'team', 'sincerely', 'appreciate', 'every', 'bit', 'support', 'given']","['last', '30', 'min', 'bid', 'wonder', 'prize', 'everi', 'bid', 'help', 'breastcanc', 'research', 'amp', 'care', 'chariti', 'bestdo', 'consid', 'bid', 'belinda', 'gray', 'amp', 'team', 'sincer', 'appreci', 'everi', 'bit', 'support', 'given']","['last', '30', 'mins', 'bid', 'wonderful', 'prizes', 'every', 'bid', 'helping', 'breastcancer', 'research', 'amp', 'care', 'charity', 'bestdo', 'consider', 'bidding', 'belinda', 'gray', 'amp', 'team', 'sincerely', 'appreciate', 'every', 'bit', 'support', 'given']",5,Spain
2020-09-27 11:06:31+00:00,1310173972261109762,"@NurseHappy2 Stay safe, and know that we appreciate all that you do, I hope you have a great support system when your shift is over.",mumfiemum,Scotland,14,0,1,0,"Takes the world by the horns, fights for fairness for all, hates bigotry, injustice and misinformation that influences people's decisions . #johnsonout",1203,,stay safe and know that we appreciate all that you do i hope you have a great support system when your shift is over,"['stay', 'safe', 'and', 'know', 'that', 'we', 'appreciate', 'all', 'that', 'you', 'do', 'i', 'hope', 'you', 'have', 'a', 'great', 'support', 'system', 'when', 'your', 'shift', 'is', 'over']","['stay', 'safe', 'know', 'appreciate', 'hope', 'great', 'support', 'system', 'shift']","['stay', 'safe', 'know', 'appreci', 'hope', 'great', 'support', 'system', 'shift']","['stay', 'safe', 'know', 'appreciate', 'hope', 'great', 'support', 'system', 'shift']",5,Spain
2020-08-14 08:25:18+00:00,1294188334852579328,"Another week is almost over... 
So many thanks to all of you who have supported us (and all the other amazing small businesses this week)... 💜💙❤️ We all appreciate it so much... 
.
.
Have the most amazing weekend -… https://t.co/8guPg9lKAl",CadeauxandCo,Somerset & S Gloucestershire,0,0,0,0,"Beautiful homewares, gifts, jewellery and children's gifts... Also @kristanmiller1",830,,another week is almost over so many thanks to all of you who have supported us and all the other amazing small businesses this week we all appreciate it so much have the most amazing weekend,"['another', 'week', 'is', 'almost', 'over', 'so', 'many', 'thanks', 'to', 'all', 'of', 'you', 'who', 'have', 'supported', 'us', 'and', 'all', 'the', 'other', 'amazing', 'small', 'businesses', 'this', 'week', 'we', 'all', 'appreciate', 'it', 'so', 'much', 'have', 'the', 'most', 'amazing', 'weekend']","['another', 'week', 'almost', 'many', 'thanks', 'supported', 'us', 'amazing', 'small', 'businesses', 'week', 'appreciate', 'much', 'amazing', 'weekend']","['anoth', 'week', 'almost', 'mani', 'thank', 'support', 'us', 'amaz', 'small', 'busi', 'week', 'appreci', 'much', 'amaz', 'weekend']","['another', 'week', 'almost', 'many', 'thanks', 'supported', 'us', 'amazing', 'small', 'businesses', 'week', 'appreciate', 'much', 'amazing', 'weekend']",5,Spain
2020-03-22 16:12:27+00:00,1241759656264888322,"It's time to start #training pain free world! 
Stay Focused.🏋️‍♂️🔥
Love finds you when you love yourself. Support finds you when you support yourself. 
Gratitude finds you when you appreciate yourself. 
The answer is YOU. 🍀❤️💪🏋️‍♂️
#CrossFit
#NeverGiveUp
#FicaEmCasa
#FelixMotivation https://t.co/4EI4sqplKu",RicardoAF86,"Lisboa, Portugal",0,0,0,0,"🤼‍♂️ @WWE Fan -
Athlete 🥋🥊
Writer / Poet 📄
Continuing The Legend and Legacy🤴🇵🇹🇪🇦👑 Instagram.com/ricardoalexand…
#NeverGiveUp #NoExcuses",515,"['training', 'CrossFit', 'NeverGiveUp', 'FicaEmCasa', 'FelixMotivation']",its time to start training pain free world stay focused love finds you when you love yourself support finds you when you support yourself gratitude finds you when you appreciate yourself the answer is you crossfit nevergiveup ficaemcasa felixmotivation,"['its', 'time', 'to', 'start', 'training', 'pain', 'free', 'world', 'stay', 'focused', 'love', 'finds', 'you', 'when', 'you', 'love', 'yourself', 'support', 'finds', 'you', 'when', 'you', 'support', 'yourself', 'gratitude', 'finds', 'you', 'when', 'you', 'appreciate', 'yourself', 'the', 'answer', 'is', 'you', 'crossfit', 'nevergiveup', 'ficaemcasa', 'felixmotivation']","['time', 'start', 'training', 'pain', 'free', 'world', 'stay', 'focused', 'love', 'finds', 'love', 'support', 'finds', 'support', 'gratitude', 'finds', 'appreciate', 'answer', 'crossfit', 'nevergiveup', 'ficaemcasa', 'felixmotivation']","['time', 'start', 'train', 'pain', 'free', 'world', 'stay', 'focus', 'love', 'find', 'love', 'support', 'find', 'support', 'gratitud', 'find', 'appreci', 'answer', 'crossfit', 'nevergiveup', 'ficaemcasa', 'felixmotiv']","['time', 'start', 'training', 'pain', 'free', 'world', 'stay', 'focused', 'love', 'finds', 'love', 'support', 'finds', 'support', 'gratitude', 'finds', 'appreciate', 'answer', 'crossfit', 'nevergiveup', 'ficaemcasa', 'felixmotivation']",3,Spain
2020-02-27 21:50:39+00:00,1233147456818335744,"@CaccioppoliMike @daviddoel Yes. And I appreciate everything positive that you do to support Bernie!

The things that Biden has done wrong pale in comparison to what Trump has done. Let's remember Trump is our mutual enemy. 

Solidarity is important for us to win! https://t.co/7pXEFaLzFG",movie_gal_10,"Las Vegas, NV",0,2,0,0,"Model - Actress - Musician
#bluewave 🌊",4751,,yes and i appreciate everything positive that you do to support bernie the things that biden has done wrong pale in comparison to what trump has done lets remember trump is our mutual enemy solidarity is important for us to win,"['yes', 'and', 'i', 'appreciate', 'everything', 'positive', 'that', 'you', 'do', 'to', 'support', 'bernie', 'the', 'things', 'that', 'biden', 'has', 'done', 'wrong', 'pale', 'in', 'comparison', 'to', 'what', 'trump', 'has', 'done', 'lets', 'remember', 'trump', 'is', 'our', 'mutual', 'enemy', 'solidarity', 'is', 'important', 'for', 'us', 'to', 'win']","['yes', 'appreciate', 'everything', 'positive', 'support', 'bernie', 'things', 'biden', 'done', 'wrong', 'pale', 'comparison', 'trump', 'done', 'lets', 'remember', 'trump', 'mutual', 'enemy', 'solidarity', 'important', 'us', 'win']","['ye', 'appreci', 'everyth', 'posit', 'support', 'berni', 'thing', 'biden', 'done', 'wrong', 'pale', 'comparison', 'trump', 'done', 'let', 'rememb', 'trump', 'mutual', 'enemi', 'solidar', 'import', 'us', 'win']","['yes', 'appreciate', 'everything', 'positive', 'support', 'bernie', 'things', 'biden', 'done', 'wrong', 'pale', 'comparison', 'trump', 'done', 'lets', 'remember', 'trump', 'mutual', 'enemy', 'solidarity', 'important', 'us', 'win']",5,Spain
2020-02-01 12:45:03+00:00,1223588067367407617,"@TheUnrealJohnW @mikearcher69 @bad_pooky @thebradfordfile My kids are already Trump supporters. We love the strong economy, low unemployment for minorities and women, appreciate the securing of our borders, respect what he has done for our veterans, look forward to expanding school choice, and love that he puts America first.",djanko112,"Statesboro, GA",1,1,1,0,Christian. Mensa Member. Supporter of American vets. 5% Native American.,2238,,my kids are already trump supporters we love the strong economy low unemployment for minorities and women appreciate the securing of our borders respect what he has done for our veterans look forward to expanding school choice and love that he puts america first,"['my', 'kids', 'are', 'already', 'trump', 'supporters', 'we', 'love', 'the', 'strong', 'economy', 'low', 'unemployment', 'for', 'minorities', 'and', 'women', 'appreciate', 'the', 'securing', 'of', 'our', 'borders', 'respect', 'what', 'he', 'has', 'done', 'for', 'our', 'veterans', 'look', 'forward', 'to', 'expanding', 'school', 'choice', 'and', 'love', 'that', 'he', 'puts', 'america', 'first']","['kids', 'already', 'trump', 'supporters', 'love', 'strong', 'economy', 'low', 'unemployment', 'minorities', 'women', 'appreciate', 'securing', 'borders', 'respect', 'done', 'veterans', 'look', 'forward', 'expanding', 'school', 'choice', 'love', 'puts', 'america', 'first']","['kid', 'alreadi', 'trump', 'support', 'love', 'strong', 'economi', 'low', 'unemploy', 'minor', 'women', 'appreci', 'secur', 'border', 'respect', 'done', 'veteran', 'look', 'forward', 'expand', 'school', 'choic', 'love', 'put', 'america', 'first']","['kids', 'already', 'trump', 'supporters', 'love', 'strong', 'economy', 'low', 'unemployment', 'minorities', 'women', 'appreciate', 'securing', 'borders', 'respect', 'done', 'veterans', 'look', 'forward', 'expanding', 'school', 'choice', 'love', 'puts', 'america', 'first']",5,Spain
