Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-01 09:33:33+00:00,1531931948930703361,"#Lebanon #Health 
Yesterday, kidney patients protested at the Islamic Charity Hospital in #Tripoli.
The hospital recently informed them they will have to pay $27,50 per dialysis session.
They can't bear the cost as most of them earn their wages in Lebanese pounds/are unemployed.",PaulineTschmchr,Beirut,2,1,1,0,Collective actions & Policy Decisions in Lebanon | Research and Content Officer @TheCeSSRA,21,"['Lebanon', 'Health', 'Tripoli']",lebanon health yesterday kidney patients protested at the islamic charity hospital in tripoli the hospital recently informed them they will have to pay 2750 per dialysis session they cant bear the cost as most of them earn their wages in lebanese poundsare unemployed,"['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'at', 'the', 'islamic', 'charity', 'hospital', 'in', 'tripoli', 'the', 'hospital', 'recently', 'informed', 'them', 'they', 'will', 'have', 'to', 'pay', '2750', 'per', 'dialysis', 'session', 'they', 'cant', 'bear', 'the', 'cost', 'as', 'most', 'of', 'them', 'earn', 'their', 'wages', 'in', 'lebanese', 'poundsare', 'unemployed']","['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'islamic', 'charity', 'hospital', 'tripoli', 'hospital', 'recently', 'informed', 'pay', '2750', 'per', 'dialysis', 'session', 'cant', 'bear', 'cost', 'earn', 'wages', 'lebanese', 'poundsare', 'unemployed']","['lebanon', 'health', 'yesterday', 'kidney', 'patient', 'protest', 'islam', 'chariti', 'hospit', 'tripoli', 'hospit', 'recent', 'inform', 'pay', '2750', 'per', 'dialysi', 'session', 'cant', 'bear', 'cost', 'earn', 'wage', 'lebanes', 'poundsar', 'unemploy']","['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'islamic', 'charity', 'hospital', 'tripoli', 'hospital', 'recently', 'informed', 'pay', '2750', 'per', 'dialysis', 'session', 'cant', 'bear', 'cost', 'earn', 'wages', 'lebanese', 'poundsare', 'unemployed']",1,Israel
2022-06-02 16:51:35+00:00,1532404571791937539,"""While I continue to keep this oath, may it be granted to me that I enjoy the utmost in health, life and practice of the art, respecting and  respected by all persons at all times"" Amen. https://t.co/X5WNeIxL9W",AprilsGoddess,Zion,43,0,3,0,"...wounds filled with love ✿, woman becoming💫✨🌻

Expect typos 😘",392,,while i continue to keep this oath may it be granted to me that i enjoy the utmost in health life and practice of the art respecting and respected by all persons at all times amen,"['while', 'i', 'continue', 'to', 'keep', 'this', 'oath', 'may', 'it', 'be', 'granted', 'to', 'me', 'that', 'i', 'enjoy', 'the', 'utmost', 'in', 'health', 'life', 'and', 'practice', 'of', 'the', 'art', 'respecting', 'and', 'respected', 'by', 'all', 'persons', 'at', 'all', 'times', 'amen']","['continue', 'keep', 'oath', 'may', 'granted', 'enjoy', 'utmost', 'health', 'life', 'practice', 'art', 'respecting', 'respected', 'persons', 'times', 'amen']","['continu', 'keep', 'oath', 'may', 'grant', 'enjoy', 'utmost', 'health', 'life', 'practic', 'art', 'respect', 'respect', 'person', 'time', 'amen']","['continue', 'keep', 'oath', 'may', 'granted', 'enjoy', 'utmost', 'health', 'life', 'practice', 'art', 'respecting', 'respected', 'persons', 'times', 'amen']",5,Israel
2022-06-01 09:33:33+00:00,1531931948930703361,"#Lebanon #Health 
Yesterday, kidney patients protested at the Islamic Charity Hospital in #Tripoli.
The hospital recently informed them they will have to pay $27,50 per dialysis session.
They can't bear the cost as most of them earn their wages in Lebanese pounds/are unemployed.",PaulineTschmchr,Beirut,2,1,1,0,Collective actions & Policy Decisions in Lebanon | Research and Content Officer @TheCeSSRA,21,"['Lebanon', 'Health', 'Tripoli']",lebanon health yesterday kidney patients protested at the islamic charity hospital in tripoli the hospital recently informed them they will have to pay 2750 per dialysis session they cant bear the cost as most of them earn their wages in lebanese poundsare unemployed,"['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'at', 'the', 'islamic', 'charity', 'hospital', 'in', 'tripoli', 'the', 'hospital', 'recently', 'informed', 'them', 'they', 'will', 'have', 'to', 'pay', '2750', 'per', 'dialysis', 'session', 'they', 'cant', 'bear', 'the', 'cost', 'as', 'most', 'of', 'them', 'earn', 'their', 'wages', 'in', 'lebanese', 'poundsare', 'unemployed']","['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'islamic', 'charity', 'hospital', 'tripoli', 'hospital', 'recently', 'informed', 'pay', '2750', 'per', 'dialysis', 'session', 'cant', 'bear', 'cost', 'earn', 'wages', 'lebanese', 'poundsare', 'unemployed']","['lebanon', 'health', 'yesterday', 'kidney', 'patient', 'protest', 'islam', 'chariti', 'hospit', 'tripoli', 'hospit', 'recent', 'inform', 'pay', '2750', 'per', 'dialysi', 'session', 'cant', 'bear', 'cost', 'earn', 'wage', 'lebanes', 'poundsar', 'unemploy']","['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'islamic', 'charity', 'hospital', 'tripoli', 'hospital', 'recently', 'informed', 'pay', '2750', 'per', 'dialysis', 'session', 'cant', 'bear', 'cost', 'earn', 'wages', 'lebanese', 'poundsare', 'unemployed']",1,Israel
2022-05-31 20:13:01+00:00,1531730491375747072,"10/ Migrant women are exposed to chemicals on the job that have led to negative health effects, on top of low-calorie intake due to extremely low wages and food insecurity. There are no legal or health protections, nor are there insurance programs or compensations available.",yallayalaura,"Cairo, Egypt",0,1,0,0,Immigrant to Egypt 🇪🇬 Historian of Gender and Politics in Egypt. Writer. Articles in @Mondoweiss and @AtlasPardee,518,,10 migrant women are exposed to chemicals on the job that have led to negative health effects on top of lowcalorie intake due to extremely low wages and food insecurity there are no legal or health protections nor are there insurance programs or compensations available,"['10', 'migrant', 'women', 'are', 'exposed', 'to', 'chemicals', 'on', 'the', 'job', 'that', 'have', 'led', 'to', 'negative', 'health', 'effects', 'on', 'top', 'of', 'lowcalorie', 'intake', 'due', 'to', 'extremely', 'low', 'wages', 'and', 'food', 'insecurity', 'there', 'are', 'no', 'legal', 'or', 'health', 'protections', 'nor', 'are', 'there', 'insurance', 'programs', 'or', 'compensations', 'available']","['10', 'migrant', 'women', 'exposed', 'chemicals', 'job', 'led', 'negative', 'health', 'effects', 'top', 'lowcalorie', 'intake', 'due', 'extremely', 'low', 'wages', 'food', 'insecurity', 'legal', 'health', 'protections', 'insurance', 'programs', 'compensations', 'available']","['10', 'migrant', 'women', 'expos', 'chemic', 'job', 'led', 'neg', 'health', 'effect', 'top', 'lowcalori', 'intak', 'due', 'extrem', 'low', 'wage', 'food', 'insecur', 'legal', 'health', 'protect', 'insur', 'program', 'compens', 'avail']","['10', 'migrant', 'women', 'exposed', 'chemicals', 'job', 'led', 'negative', 'health', 'effects', 'top', 'lowcalorie', 'intake', 'due', 'extremely', 'low', 'wages', 'food', 'insecurity', 'legal', 'health', 'protections', 'insurance', 'programs', 'compensations', 'available']",1,Israel
2022-05-30 13:36:02+00:00,1531268196539449344,"I live overseas. 
I have to cover my own health expenses through insurance. 
If I return to the UK it is 6 months before I qualify for the NHS again.
Why are illegal immigrants covered immediately?? https://t.co/sneZJHeBsd",AmuAlan,North Lebanon,0,1,0,0,F1 fan 🇬🇧🇱🇧 Please use retweet not reply so others can see,251,,i live overseas i have to cover my own health expenses through insurance if i return to the uk it is 6 months before i qualify for the nhs again why are illegal immigrants covered immediately,"['i', 'live', 'overseas', 'i', 'have', 'to', 'cover', 'my', 'own', 'health', 'expenses', 'through', 'insurance', 'if', 'i', 'return', 'to', 'the', 'uk', 'it', 'is', '6', 'months', 'before', 'i', 'qualify', 'for', 'the', 'nhs', 'again', 'why', 'are', 'illegal', 'immigrants', 'covered', 'immediately']","['live', 'overseas', 'cover', 'health', 'expenses', 'insurance', 'return', 'uk', '6', 'months', 'qualify', 'nhs', 'illegal', 'immigrants', 'covered', 'immediately']","['live', 'oversea', 'cover', 'health', 'expens', 'insur', 'return', 'uk', '6', 'month', 'qualifi', 'nh', 'illeg', 'immigr', 'cover', 'immedi']","['live', 'overseas', 'cover', 'health', 'expenses', 'insurance', 'return', 'uk', '6', 'months', 'qualify', 'nhs', 'illegal', 'immigrants', 'covered', 'immediately']",1,Israel
2022-05-30 09:14:12+00:00,1531202305470648320,"🔴In response to the growing needs in #Yemen, IOM &amp; @eu_echo are scaling up our efforts to support over 325,000 conflict-affected communities &amp; migrants with: 

✅Shelter 
✅Health 
✅Cash 
✅Protection services 
✅Water and sanitation. 

Press release: https://t.co/tR9JQgBsB5 https://t.co/q9aq0pUnUA",IOM_MENA,"Cairo, Egypt",7,0,5,0,Official Account for the UN Migration Agency (IOM) Middle East & North Africa Regional Office • #ForMigration • Our Facebook: tinyurl.com/y9cmawqx,8141,['Yemen'],in response to the growing needs in yemen iom amp are scaling up our efforts to support over 325000 conflictaffected communities amp migrants with shelter health cash protection services water and sanitation press release,"['in', 'response', 'to', 'the', 'growing', 'needs', 'in', 'yemen', 'iom', 'amp', 'are', 'scaling', 'up', 'our', 'efforts', 'to', 'support', 'over', '325000', 'conflictaffected', 'communities', 'amp', 'migrants', 'with', 'shelter', 'health', 'cash', 'protection', 'services', 'water', 'and', 'sanitation', 'press', 'release']","['response', 'growing', 'needs', 'yemen', 'iom', 'amp', 'scaling', 'efforts', 'support', '325000', 'conflictaffected', 'communities', 'amp', 'migrants', 'shelter', 'health', 'cash', 'protection', 'services', 'water', 'sanitation', 'press', 'release']","['respons', 'grow', 'need', 'yemen', 'iom', 'amp', 'scale', 'effort', 'support', '325000', 'conflictaffect', 'commun', 'amp', 'migrant', 'shelter', 'health', 'cash', 'protect', 'servic', 'water', 'sanit', 'press', 'releas']","['response', 'growing', 'needs', 'yemen', 'iom', 'amp', 'scaling', 'efforts', 'support', '325000', 'conflictaffected', 'communities', 'amp', 'migrants', 'shelter', 'health', 'cash', 'protection', 'services', 'water', 'sanitation', 'press', 'release']",4,Israel
2022-03-05 05:27:48+00:00,1499979973041528835,I have two friends who were like sisters to me. A Palestinian nursed me into health when I was depressed after my divorce. she took me as her charity project.,Auntie_Leafy,Israel,2,1,0,0,"privelged Ashkenazi Anarchist

Based in Jerusalem
قدس
RTs + Favs are not endorsment",999,,i have two friends who were like sisters to me a palestinian nursed me into health when i was depressed after my divorce she took me as her charity project,"['i', 'have', 'two', 'friends', 'who', 'were', 'like', 'sisters', 'to', 'me', 'a', 'palestinian', 'nursed', 'me', 'into', 'health', 'when', 'i', 'was', 'depressed', 'after', 'my', 'divorce', 'she', 'took', 'me', 'as', 'her', 'charity', 'project']","['two', 'friends', 'like', 'sisters', 'palestinian', 'nursed', 'health', 'depressed', 'divorce', 'took', 'charity', 'project']","['two', 'friend', 'like', 'sister', 'palestinian', 'nurs', 'health', 'depress', 'divorc', 'took', 'chariti', 'project']","['two', 'friends', 'like', 'sisters', 'palestinian', 'nursed', 'health', 'depressed', 'divorce', 'took', 'charity', 'project']",4,Israel
2022-02-07 16:42:30+00:00,1490727680353918976,"Orgs to donate to help #Syria'n refugees in #Lebanon-
General assistance: https://t.co/ZJbflg9JcB &amp; https://t.co/wHarCSQuPl
Basic needs (eg food, fuel): Syrian Eyes https://t.co/NYOcIxnNH0
Kids: @INARAorg 
Education: @Jusoor_ngo 
Mobile health: EMA appeal https://t.co/9zULJOFrcH",Leila_MA,Iraq,14,0,13,1,"Middle East Correspondent @PBS @Newshour @Channel4News. Catch me on @BBCFooc. Ex-@Economist, Iranian-Scot. Mother of hounds, proud daughter of immigrants.",21249,"['Syria', 'Lebanon']",orgs to donate to help syrian refugees in lebanon general assistance amp basic needs eg food fuel syrian eyes kids education mobile health ema appeal,"['orgs', 'to', 'donate', 'to', 'help', 'syrian', 'refugees', 'in', 'lebanon', 'general', 'assistance', 'amp', 'basic', 'needs', 'eg', 'food', 'fuel', 'syrian', 'eyes', 'kids', 'education', 'mobile', 'health', 'ema', 'appeal']","['orgs', 'donate', 'help', 'syrian', 'refugees', 'lebanon', 'general', 'assistance', 'amp', 'basic', 'needs', 'eg', 'food', 'fuel', 'syrian', 'eyes', 'kids', 'education', 'mobile', 'health', 'ema', 'appeal']","['org', 'donat', 'help', 'syrian', 'refuge', 'lebanon', 'gener', 'assist', 'amp', 'basic', 'need', 'eg', 'food', 'fuel', 'syrian', 'eye', 'kid', 'educ', 'mobil', 'health', 'ema', 'appeal']","['orgs', 'donate', 'help', 'syrian', 'refugees', 'lebanon', 'general', 'assistance', 'amp', 'basic', 'needs', 'eg', 'food', 'fuel', 'syrian', 'eyes', 'kids', 'education', 'mobile', 'health', 'ema', 'appeal']",4,Israel
2022-06-01 09:33:33+00:00,1531931948930703361,"#Lebanon #Health 
Yesterday, kidney patients protested at the Islamic Charity Hospital in #Tripoli.
The hospital recently informed them they will have to pay $27,50 per dialysis session.
They can't bear the cost as most of them earn their wages in Lebanese pounds/are unemployed.",PaulineTschmchr,Beirut,2,1,1,0,Collective actions & Policy Decisions in Lebanon | Research and Content Officer @TheCeSSRA,21,"['Lebanon', 'Health', 'Tripoli']",lebanon health yesterday kidney patients protested at the islamic charity hospital in tripoli the hospital recently informed them they will have to pay 2750 per dialysis session they cant bear the cost as most of them earn their wages in lebanese poundsare unemployed,"['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'at', 'the', 'islamic', 'charity', 'hospital', 'in', 'tripoli', 'the', 'hospital', 'recently', 'informed', 'them', 'they', 'will', 'have', 'to', 'pay', '2750', 'per', 'dialysis', 'session', 'they', 'cant', 'bear', 'the', 'cost', 'as', 'most', 'of', 'them', 'earn', 'their', 'wages', 'in', 'lebanese', 'poundsare', 'unemployed']","['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'islamic', 'charity', 'hospital', 'tripoli', 'hospital', 'recently', 'informed', 'pay', '2750', 'per', 'dialysis', 'session', 'cant', 'bear', 'cost', 'earn', 'wages', 'lebanese', 'poundsare', 'unemployed']","['lebanon', 'health', 'yesterday', 'kidney', 'patient', 'protest', 'islam', 'chariti', 'hospit', 'tripoli', 'hospit', 'recent', 'inform', 'pay', '2750', 'per', 'dialysi', 'session', 'cant', 'bear', 'cost', 'earn', 'wage', 'lebanes', 'poundsar', 'unemploy']","['lebanon', 'health', 'yesterday', 'kidney', 'patients', 'protested', 'islamic', 'charity', 'hospital', 'tripoli', 'hospital', 'recently', 'informed', 'pay', '2750', 'per', 'dialysis', 'session', 'cant', 'bear', 'cost', 'earn', 'wages', 'lebanese', 'poundsare', 'unemployed']",1,Israel
2022-01-22 21:06:39+00:00,1484995950124875781,"22.01.22 - We delivered aid to Syrian refugee camps and a hospital - food, medicine and equipment distributed to families. See pics below.

Will post a full video tomorrow. Pledge your donation directly by DM or WhatsApp or click below👇 
https://t.co/l6gENI90OM
#WinterWarmth2022 https://t.co/j1eORkht0B",maspatel01,London,13,1,2,0,💙 Practice Law | Humanitarian | @UKLabour | @LFC #YNWA | All views mine | RTs not endorsement | @AbdullahAidUK - Aid Worker,11509,['WinterWarmth2022'],220122 we delivered aid to syrian refugee camps and a hospital food medicine and equipment distributed to families see pics below will post a full video tomorrow pledge your donation directly by dm or whatsapp or click below winterwarmth2022,"['220122', 'we', 'delivered', 'aid', 'to', 'syrian', 'refugee', 'camps', 'and', 'a', 'hospital', 'food', 'medicine', 'and', 'equipment', 'distributed', 'to', 'families', 'see', 'pics', 'below', 'will', 'post', 'a', 'full', 'video', 'tomorrow', 'pledge', 'your', 'donation', 'directly', 'by', 'dm', 'or', 'whatsapp', 'or', 'click', 'below', 'winterwarmth2022']","['220122', 'delivered', 'aid', 'syrian', 'refugee', 'camps', 'hospital', 'food', 'medicine', 'equipment', 'distributed', 'families', 'see', 'pics', 'post', 'full', 'video', 'tomorrow', 'pledge', 'donation', 'directly', 'dm', 'whatsapp', 'click', 'winterwarmth2022']","['220122', 'deliv', 'aid', 'syrian', 'refuge', 'camp', 'hospit', 'food', 'medicin', 'equip', 'distribut', 'famili', 'see', 'pic', 'post', 'full', 'video', 'tomorrow', 'pledg', 'donat', 'directli', 'dm', 'whatsapp', 'click', 'winterwarmth2022']","['220122', 'delivered', 'aid', 'syrian', 'refugee', 'camps', 'hospital', 'food', 'medicine', 'equipment', 'distributed', 'families', 'see', 'pics', 'post', 'full', 'video', 'tomorrow', 'pledge', 'donation', 'directly', 'dm', 'whatsapp', 'click', 'winterwarmth2022']",1,Israel
