Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-04 09:21:28+00:00,1533016072831508480,@FORDF1SHITTY @piterbag @AGS_Quag I know nothing about you two besides plok profile picture but I appreciate you both immensely for liking my tweets and for liking plok,salvador7a,Guatemala,2,0,0,0,"I fuckig love plok @Pickfordbros @JPickFord @stepickford @TheRealPlok
pfp by my good friend @PixelHQ_1124",88,,i know nothing about you two besides plok profile picture but i appreciate you both immensely for liking my tweets and for liking plok,"['i', 'know', 'nothing', 'about', 'you', 'two', 'besides', 'plok', 'profile', 'picture', 'but', 'i', 'appreciate', 'you', 'both', 'immensely', 'for', 'liking', 'my', 'tweets', 'and', 'for', 'liking', 'plok']","['know', 'nothing', 'two', 'besides', 'plok', 'profile', 'picture', 'appreciate', 'immensely', 'liking', 'tweets', 'liking', 'plok']","['know', 'noth', 'two', 'besid', 'plok', 'profil', 'pictur', 'appreci', 'immens', 'like', 'tweet', 'like', 'plok']","['know', 'nothing', 'two', 'besides', 'plok', 'profile', 'picture', 'appreciate', 'immensely', 'liking', 'tweets', 'liking', 'plok']",5,Guatemala
2022-06-04 00:58:30+00:00,1532889497494380544,"me now, don't even care about someone who don't appreciate me",syahmeran,gua,1,0,0,0,nye nye nye.,79,,me now dont even care about someone who dont appreciate me,"['me', 'now', 'dont', 'even', 'care', 'about', 'someone', 'who', 'dont', 'appreciate', 'me']","['dont', 'even', 'care', 'someone', 'dont', 'appreciate']","['dont', 'even', 'care', 'someon', 'dont', 'appreci']","['dont', 'even', 'care', 'someone', 'dont', 'appreciate']",3,Guatemala
2022-05-31 18:21:03+00:00,1531702310824460290,"no but I will always appreciate the fact korean idols are part of the fandom, they really here giving promo to justin’s music everytime for FREE like they the real ones",minygxpd,Guatemala,62,2,12,1,#YOONGI: yeah bieber | 💗💜💙,18902,,no but i will always appreciate the fact korean idols are part of the fandom they really here giving promo to justins music everytime for free like they the real ones,"['no', 'but', 'i', 'will', 'always', 'appreciate', 'the', 'fact', 'korean', 'idols', 'are', 'part', 'of', 'the', 'fandom', 'they', 'really', 'here', 'giving', 'promo', 'to', 'justins', 'music', 'everytime', 'for', 'free', 'like', 'they', 'the', 'real', 'ones']","['always', 'appreciate', 'fact', 'korean', 'idols', 'part', 'fandom', 'really', 'giving', 'promo', 'justins', 'music', 'everytime', 'free', 'like', 'real', 'ones']","['alway', 'appreci', 'fact', 'korean', 'idol', 'part', 'fandom', 'realli', 'give', 'promo', 'justin', 'music', 'everytim', 'free', 'like', 'real', 'one']","['always', 'appreciate', 'fact', 'korean', 'idols', 'part', 'fandom', 'really', 'giving', 'promo', 'justins', 'music', 'everytime', 'free', 'like', 'real', 'ones']",4,Guatemala
2022-05-31 12:42:51+00:00,1531617199835729920,"This video would not be possible without supporters of our Adopt-A-Croc program. If you appreciate Gilly's content and want to see more of him, click the link below and consider contributing to our Croc's well being and health care.
https://t.co/2C47iji11p https://t.co/HpRFTmRCje",CrocResCoal,"Maya Beach, Belize",46,0,14,0,"Non-profit organization committed to the preservation of crocs & associated wildlife through community involvement, education, and research in Central America",1389,,this video would not be possible without supporters of our adoptacroc program if you appreciate gillys content and want to see more of him click the link below and consider contributing to our crocs well being and health care,"['this', 'video', 'would', 'not', 'be', 'possible', 'without', 'supporters', 'of', 'our', 'adoptacroc', 'program', 'if', 'you', 'appreciate', 'gillys', 'content', 'and', 'want', 'to', 'see', 'more', 'of', 'him', 'click', 'the', 'link', 'below', 'and', 'consider', 'contributing', 'to', 'our', 'crocs', 'well', 'being', 'and', 'health', 'care']","['video', 'would', 'possible', 'without', 'supporters', 'adoptacroc', 'program', 'appreciate', 'gillys', 'content', 'want', 'see', 'click', 'link', 'consider', 'contributing', 'crocs', 'well', 'health', 'care']","['video', 'would', 'possibl', 'without', 'support', 'adoptacroc', 'program', 'appreci', 'gilli', 'content', 'want', 'see', 'click', 'link', 'consid', 'contribut', 'croc', 'well', 'health', 'care']","['video', 'would', 'possible', 'without', 'supporters', 'adoptacroc', 'program', 'appreciate', 'gillys', 'content', 'want', 'see', 'click', 'link', 'consider', 'contributing', 'crocs', 'well', 'health', 'care']",1,Guatemala
2022-05-30 20:41:06+00:00,1531375168098127874,@astroboysoup @Padierfind Got to take care of yourself first! But know we appreciate your hard work and wouldn’t blame you for cutting back a bit for some self care.,gene_sipes,Tejas,0,0,0,0,"A guy living this American life, trying to get ahead. Thankful for my family, and the opportunity to be alive and breathing. tokhun.io/gene_sipes",48,,got to take care of yourself first but know we appreciate your hard work and wouldnt blame you for cutting back a bit for some self care,"['got', 'to', 'take', 'care', 'of', 'yourself', 'first', 'but', 'know', 'we', 'appreciate', 'your', 'hard', 'work', 'and', 'wouldnt', 'blame', 'you', 'for', 'cutting', 'back', 'a', 'bit', 'for', 'some', 'self', 'care']","['got', 'take', 'care', 'first', 'know', 'appreciate', 'hard', 'work', 'wouldnt', 'blame', 'cutting', 'back', 'bit', 'self', 'care']","['got', 'take', 'care', 'first', 'know', 'appreci', 'hard', 'work', 'wouldnt', 'blame', 'cut', 'back', 'bit', 'self', 'care']","['got', 'take', 'care', 'first', 'know', 'appreciate', 'hard', 'work', 'wouldnt', 'blame', 'cutting', 'back', 'bit', 'self', 'care']",4,Guatemala
2022-05-30 06:00:43+00:00,1531153613619625984,"yey!!! thank you din po for being patient with this transaction, appreciate it a lot till our nxt transaction po hehehe #02z_CollectFB https://t.co/rhxrFH4L3Z",02z_collect,Mindanao,1,0,0,0,"Mainly For ENHYPEN, BTS, TXT, TRAINEE A | #02z_CollectFB | #02z_CollectOnhands |  🐷🐶 this BNS account is being handled by two person | NOT A SHOP |",561,['02z_CollectFB'],yey thank you din po for being patient with this transaction appreciate it a lot till our nxt transaction po hehehe 02zcollectfb,"['yey', 'thank', 'you', 'din', 'po', 'for', 'being', 'patient', 'with', 'this', 'transaction', 'appreciate', 'it', 'a', 'lot', 'till', 'our', 'nxt', 'transaction', 'po', 'hehehe', '02zcollectfb']","['yey', 'thank', 'din', 'po', 'patient', 'transaction', 'appreciate', 'lot', 'till', 'nxt', 'transaction', 'po', 'hehehe', '02zcollectfb']","['yey', 'thank', 'din', 'po', 'patient', 'transact', 'appreci', 'lot', 'till', 'nxt', 'transact', 'po', 'heheh', '02zcollectfb']","['yey', 'thank', 'din', 'po', 'patient', 'transaction', 'appreciate', 'lot', 'till', 'nxt', 'transaction', 'po', 'hehehe', '02zcollectfb']",5,Guatemala
2022-04-30 01:51:28+00:00,1520219252678139909,"We, Appreciate Your Words 4
Mr President @NayibBukele &amp; Backed You Up On Instagram were I, was More Specifics What He Has Done 4 All

1. Hospitals have Medicines
2. Controlled Gangs
3. Private Enterprise $ 1,800 MM
4. Almost Liquidated Corruption

•

https://t.co/k87yZ6C77D",ArthurGuth,"El Salvador, Central América. ",1,0,0,0,"Coffee Plantation Grower, Entepreneur, & Pilot, Progressive Mind, Lover of Homeland and Social Welfare in Democracy | Peace Progress & Liberty",1191,,we appreciate your words 4 mr president amp backed you up on instagram were i was more specifics what he has done 4 all 1 hospitals have medicines 2 controlled gangs 3 private enterprise 1800 mm 4 almost liquidated corruption,"['we', 'appreciate', 'your', 'words', '4', 'mr', 'president', 'amp', 'backed', 'you', 'up', 'on', 'instagram', 'were', 'i', 'was', 'more', 'specifics', 'what', 'he', 'has', 'done', '4', 'all', '1', 'hospitals', 'have', 'medicines', '2', 'controlled', 'gangs', '3', 'private', 'enterprise', '1800', 'mm', '4', 'almost', 'liquidated', 'corruption']","['appreciate', 'words', '4', 'mr', 'president', 'amp', 'backed', 'instagram', 'specifics', 'done', '4', '1', 'hospitals', 'medicines', '2', 'controlled', 'gangs', '3', 'private', 'enterprise', '1800', 'mm', '4', 'almost', 'liquidated', 'corruption']","['appreci', 'word', '4', 'mr', 'presid', 'amp', 'back', 'instagram', 'specif', 'done', '4', '1', 'hospit', 'medicin', '2', 'control', 'gang', '3', 'privat', 'enterpris', '1800', 'mm', '4', 'almost', 'liquid', 'corrupt']","['appreciate', 'words', '4', 'mr', 'president', 'amp', 'backed', 'instagram', 'specifics', 'done', '4', '1', 'hospitals', 'medicines', '2', 'controlled', 'gangs', '3', 'private', 'enterprise', '1800', 'mm', '4', 'almost', 'liquidated', 'corruption']",1,Guatemala
2022-01-27 22:34:41+00:00,1486830047159857154,"@ChrisLoesch @IAmericanMama @PoleDancingPooh Appreciate that brother, thanks!! 👊🇺🇸",rdsanchezjr,"Anchorage, AK ✈",1,1,0,0,"US AirForce NG Airman/ @USC alum 🇺🇸🇳🇱🇵🇹🇪🇸 #actorslife🎭 #Chicago native
Personal Account",9562,,appreciate that brother thanks,"['appreciate', 'that', 'brother', 'thanks']","['appreciate', 'brother', 'thanks']","['appreci', 'brother', 'thank']","['appreciate', 'brother', 'thanks']",5,Guatemala
2021-09-19 19:37:27+00:00,1439675018775076877,@1joav @ltwlauren @brekfestburrit0 @l_dermody @pammygirl10 @TheLiberalMedic @BuddyfromNJ @MurdockResists @Trish1000 @MichaelCRW @barbchris00 @pixieprincess22 @Cubfan13241 @Aerochick11 @jp262 Thanks! I only need 8 more to make 2k!  Appreciate it!,judir2009,"Colorado, USA",1,0,0,0,"Nurse, scuba diver, horse owner, animal lover, energy healer, and resister.  Love to travel!!",2253,,thanks i only need 8 more to make 2k appreciate it,"['thanks', 'i', 'only', 'need', '8', 'more', 'to', 'make', '2k', 'appreciate', 'it']","['thanks', 'need', '8', 'make', '2k', 'appreciate']","['thank', 'need', '8', 'make', '2k', 'appreci']","['thanks', 'need', '8', 'make', '2k', 'appreciate']",4,Guatemala
2021-09-14 20:52:42+00:00,1437882018373722112,Thanks to all my followers really appreciate it . https://t.co/2TeQpgpXao,WeatherUpdat3,Belize,5,0,0,0,"the 2022 Atlantic hurricane season is expected to be an above average hurricane season, get prepared!",537,,thanks to all my followers really appreciate it,"['thanks', 'to', 'all', 'my', 'followers', 'really', 'appreciate', 'it']","['thanks', 'followers', 'really', 'appreciate']","['thank', 'follow', 'realli', 'appreci']","['thanks', 'followers', 'really', 'appreciate']",5,Guatemala
