Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2021-08-10 06:02:27+00:00,1424974403926888449,"@BTS_twt_JIMlNIE I love you soo much Jimin 💜 thank U for  V live.We appreciate it.I maybe couldn't watch it bc it ended where i have come, but anyway just wanna to remind you that i'm sending you soo much love andsupport from Slovenia 🇸🇮,i wish you will see this message.Take care of yourself 💜",ErminaJasar,Republic of Slovenia,1,0,0,0,ᴸⁱᵛᵉ ʸᵒᵘʳ ˡⁱᶠᵉ.ᴸⁱᶠᵉ ᵍᵒᵉˢ ᵒⁿ.ˢᵒ ᵁ ˢʰᵒᵘˡᵈ ᵗᵒᵒ.ᴶᵘˢᵗ ⁿᵉᵛᵉʳ ᵍⁱᵛᵉ ᵘᵖ ᵒⁿ ʸᵒᵘʳ ᵈʳᵉᵃᵐˢ ᵉᵛᵉⁿ ʷʰᵉⁿ ⁱᵗ ˢᵉᵉᵐˢ ˡⁱᵏᵉ ᵁ ᶜᵃⁿ'ᵗ. ᵁ ᶜᵃⁿ ᵈᵒ ⁱᵗ. ᴶᵘˢᵗ ᵇᵉˡⁱᵛᵉ ⁱⁿ ʸᵒᵘʳˢᵉˡᶠ. ᴀʀᴍʏ 💜ʙᴛꜱ,35,,i love you soo much jimin thank u for v livewe appreciate iti maybe couldnt watch it bc it ended where i have come but anyway just wanna to remind you that im sending you soo much love andsupport from slovenia i wish you will see this messagetake care of yourself,"['i', 'love', 'you', 'soo', 'much', 'jimin', 'thank', 'u', 'for', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'it', 'bc', 'it', 'ended', 'where', 'i', 'have', 'come', 'but', 'anyway', 'just', 'wanna', 'to', 'remind', 'you', 'that', 'im', 'sending', 'you', 'soo', 'much', 'love', 'andsupport', 'from', 'slovenia', 'i', 'wish', 'you', 'will', 'see', 'this', 'messagetake', 'care', 'of', 'yourself']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'bc', 'ended', 'come', 'anyway', 'wanna', 'remind', 'im', 'sending', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetake', 'care']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livew', 'appreci', 'iti', 'mayb', 'couldnt', 'watch', 'bc', 'end', 'come', 'anyway', 'wanna', 'remind', 'im', 'send', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetak', 'care']","['love', 'soo', 'much', 'jimin', 'thank', 'u', 'v', 'livewe', 'appreciate', 'iti', 'maybe', 'couldnt', 'watch', 'bc', 'ended', 'come', 'anyway', 'wanna', 'remind', 'im', 'sending', 'soo', 'much', 'love', 'andsupport', 'slovenia', 'wish', 'see', 'messagetake', 'care']",5,Slovenia
2022-06-04 14:24:07+00:00,1533092238275796993,"This was worth checking my phone for on holiday. @kaitborsay kindly alerted me 😁

…And plenty of mutual WIF appreciation for other nominees I’ve seen 

Thanks Lorenzo! https://t.co/dL3kGwP9Lh",lynseyhooper,London,22,0,1,0,Broadcaster for @skysports & @premierleague (IMG). Co-Founder @offsiderulepod & Director @offsideprods. Agent: Dean@oportosports.com,15435,,this was worth checking my phone for on holiday kindly alerted me and plenty of mutual wif appreciation for other nominees ive seen thanks lorenzo,"['this', 'was', 'worth', 'checking', 'my', 'phone', 'for', 'on', 'holiday', 'kindly', 'alerted', 'me', 'and', 'plenty', 'of', 'mutual', 'wif', 'appreciation', 'for', 'other', 'nominees', 'ive', 'seen', 'thanks', 'lorenzo']","['worth', 'checking', 'phone', 'holiday', 'kindly', 'alerted', 'plenty', 'mutual', 'wif', 'appreciation', 'nominees', 'ive', 'seen', 'thanks', 'lorenzo']","['worth', 'check', 'phone', 'holiday', 'kindli', 'alert', 'plenti', 'mutual', 'wif', 'appreci', 'nomine', 'ive', 'seen', 'thank', 'lorenzo']","['worth', 'checking', 'phone', 'holiday', 'kindly', 'alerted', 'plenty', 'mutual', 'wif', 'appreciation', 'nominees', 'ive', 'seen', 'thanks', 'lorenzo']",5,Slovenia
2020-08-23 14:23:53+00:00,1297540064646488064,If and when it is not possible. Only then. Wear a mask. The message could not be clearer #COVID19 https://t.co/fcgaPjcNHA,hana07915555,"Dečno selo 20, Artiče",0,0,0,0,I am holy. Literally. It’s a keyword. Find it.,35,['COVID19'],if and when it is not possible only then wear a mask the message could not be clearer covid19,"['if', 'and', 'when', 'it', 'is', 'not', 'possible', 'only', 'then', 'wear', 'a', 'mask', 'the', 'message', 'could', 'not', 'be', 'clearer', 'covid19']","['possible', 'wear', 'mask', 'message', 'could', 'clearer', 'covid19']","['possibl', 'wear', 'mask', 'messag', 'could', 'clearer', 'covid19']","['possible', 'wear', 'mask', 'message', 'could', 'clearer', 'covid19']",1,Slovenia
2020-03-05 13:27:38+00:00,1235557584616083464,"Taking a break from traveling seems like a wise decision with coronavirus spreading so fast around the world. We should act responsibly, not only for our health but also for the well being of people around us. 🌸 @… https://t.co/UBmgB68rVc",awaywithdeniz,"Istanbul, Turkey",3,1,0,0,IG: @awaywithdeniz | Youtube: Awaywithdeniz,573,,taking a break from traveling seems like a wise decision with coronavirus spreading so fast around the world we should act responsibly not only for our health but also for the well being of people around us,"['taking', 'a', 'break', 'from', 'traveling', 'seems', 'like', 'a', 'wise', 'decision', 'with', 'coronavirus', 'spreading', 'so', 'fast', 'around', 'the', 'world', 'we', 'should', 'act', 'responsibly', 'not', 'only', 'for', 'our', 'health', 'but', 'also', 'for', 'the', 'well', 'being', 'of', 'people', 'around', 'us']","['taking', 'break', 'traveling', 'seems', 'like', 'wise', 'decision', 'coronavirus', 'spreading', 'fast', 'around', 'world', 'act', 'responsibly', 'health', 'also', 'well', 'people', 'around', 'us']","['take', 'break', 'travel', 'seem', 'like', 'wise', 'decis', 'coronaviru', 'spread', 'fast', 'around', 'world', 'act', 'respons', 'health', 'also', 'well', 'peopl', 'around', 'us']","['taking', 'break', 'traveling', 'seems', 'like', 'wise', 'decision', 'coronavirus', 'spreading', 'fast', 'around', 'world', 'act', 'responsibly', 'health', 'also', 'well', 'people', 'around', 'us']",5,Slovenia
2020-08-21 08:39:18+00:00,1296728574486032384,"The Secretary of State for tourism says the problem is down to tourists and young people in #Split not sticking to social distancing rules, and crowding at nightclubs

The Croatian Gov is continuing to lobby the UK government to be added back onto the #safe travel list 
#Covid_19 https://t.co/421VdVnYyM",GavinLeeNews,Belgium,1,1,0,0,Europe News Correspondent  Instagram: @gavinleenews,8707,"['Split', 'safe', 'Covid_19']",the secretary of state for tourism says the problem is down to tourists and young people in split not sticking to social distancing rules and crowding at nightclubs the croatian gov is continuing to lobby the uk government to be added back onto the safe travel list covid19,"['the', 'secretary', 'of', 'state', 'for', 'tourism', 'says', 'the', 'problem', 'is', 'down', 'to', 'tourists', 'and', 'young', 'people', 'in', 'split', 'not', 'sticking', 'to', 'social', 'distancing', 'rules', 'and', 'crowding', 'at', 'nightclubs', 'the', 'croatian', 'gov', 'is', 'continuing', 'to', 'lobby', 'the', 'uk', 'government', 'to', 'be', 'added', 'back', 'onto', 'the', 'safe', 'travel', 'list', 'covid19']","['secretary', 'state', 'tourism', 'says', 'problem', 'tourists', 'young', 'people', 'split', 'sticking', 'social', 'distancing', 'rules', 'crowding', 'nightclubs', 'croatian', 'gov', 'continuing', 'lobby', 'uk', 'government', 'added', 'back', 'onto', 'safe', 'travel', 'list', 'covid19']","['secretari', 'state', 'tourism', 'say', 'problem', 'tourist', 'young', 'peopl', 'split', 'stick', 'social', 'distanc', 'rule', 'crowd', 'nightclub', 'croatian', 'gov', 'continu', 'lobbi', 'uk', 'govern', 'ad', 'back', 'onto', 'safe', 'travel', 'list', 'covid19']","['secretary', 'state', 'tourism', 'says', 'problem', 'tourists', 'young', 'people', 'split', 'sticking', 'social', 'distancing', 'rules', 'crowding', 'nightclubs', 'croatian', 'gov', 'continuing', 'lobby', 'uk', 'government', 'added', 'back', 'onto', 'safe', 'travel', 'list', 'covid19']",1,Slovenia
2020-08-29 06:11:53+00:00,1299590578900926470,"This is what I believe in

 The benefit of moving from one country to another is only if the soul moves from feeling to feeling, and if carefree travels with you, then you are a resident and have not left

 Mustafa… https://t.co/Xf83Rx8IvU",MohammedAbdAlia,Republic of Croatia,0,0,0,0,"𝕮𝖗𝖊𝖆𝖙𝖊 𝖜𝖎𝖙𝖍 𝖙𝖍𝖊 𝕳𝖊𝖆𝖗𝖙, 𝕭𝖚𝖎𝖑𝖉 𝖜𝖎𝖙𝖍 𝖙𝖍𝖊 𝕸𝖎𝖓𝖉 facebook.com/MohammedAbdAli… . instagram.com/m9o9m3/",171,,this is what i believe in the benefit of moving from one country to another is only if the soul moves from feeling to feeling and if carefree travels with you then you are a resident and have not left mustafa,"['this', 'is', 'what', 'i', 'believe', 'in', 'the', 'benefit', 'of', 'moving', 'from', 'one', 'country', 'to', 'another', 'is', 'only', 'if', 'the', 'soul', 'moves', 'from', 'feeling', 'to', 'feeling', 'and', 'if', 'carefree', 'travels', 'with', 'you', 'then', 'you', 'are', 'a', 'resident', 'and', 'have', 'not', 'left', 'mustafa']","['believe', 'benefit', 'moving', 'one', 'country', 'another', 'soul', 'moves', 'feeling', 'feeling', 'carefree', 'travels', 'resident', 'left', 'mustafa']","['believ', 'benefit', 'move', 'one', 'countri', 'anoth', 'soul', 'move', 'feel', 'feel', 'carefre', 'travel', 'resid', 'left', 'mustafa']","['believe', 'benefit', 'moving', 'one', 'country', 'another', 'soul', 'moves', 'feeling', 'feeling', 'carefree', 'travels', 'resident', 'left', 'mustafa']",5,Slovenia
2021-01-08 21:25:15+00:00,1347655632208461826,"We say travel is unacceptable (but we'll all go travel) and the Vaxx is good (but we'll all 'wait our turn'. Or refuse it - US nurses)... NP: 'Unacceptable': Canada public health employee took a trip to Jamaica, paid by Air Canada.
https://t.co/4NQeFPbcLt

via @GoogleNews",adambangay,,0,0,0,0,📍 A 🇨🇦 in 🇭🇷,211,,we say travel is unacceptable but well all go travel and the vaxx is good but well all wait our turn or refuse it us nurses np unacceptable canada public health employee took a trip to jamaica paid by air canada via,"['we', 'say', 'travel', 'is', 'unacceptable', 'but', 'well', 'all', 'go', 'travel', 'and', 'the', 'vaxx', 'is', 'good', 'but', 'well', 'all', 'wait', 'our', 'turn', 'or', 'refuse', 'it', 'us', 'nurses', 'np', 'unacceptable', 'canada', 'public', 'health', 'employee', 'took', 'a', 'trip', 'to', 'jamaica', 'paid', 'by', 'air', 'canada', 'via']","['say', 'travel', 'unacceptable', 'well', 'go', 'travel', 'vaxx', 'good', 'well', 'wait', 'turn', 'refuse', 'us', 'nurses', 'np', 'unacceptable', 'canada', 'public', 'health', 'employee', 'took', 'trip', 'jamaica', 'paid', 'air', 'canada', 'via']","['say', 'travel', 'unaccept', 'well', 'go', 'travel', 'vaxx', 'good', 'well', 'wait', 'turn', 'refus', 'us', 'nurs', 'np', 'unaccept', 'canada', 'public', 'health', 'employe', 'took', 'trip', 'jamaica', 'paid', 'air', 'canada', 'via']","['say', 'travel', 'unacceptable', 'well', 'go', 'travel', 'vaxx', 'good', 'well', 'wait', 'turn', 'refuse', 'us', 'nurses', 'np', 'unacceptable', 'canada', 'public', 'health', 'employee', 'took', 'trip', 'jamaica', 'paid', 'air', 'canada', 'via']",1,Slovenia
2019-12-12 13:46:05+00:00,1205121649219194887,"@RyanDoherty47 Was it not a tax break? So he would have to spend xy billion to get the 3B discount? 

To say he would take 3B from firemen, police, nurses and so on is...",SchrottyGrega,,0,0,0,0,,95,,was it not a tax break so he would have to spend xy billion to get the 3b discount to say he would take 3b from firemen police nurses and so on is,"['was', 'it', 'not', 'a', 'tax', 'break', 'so', 'he', 'would', 'have', 'to', 'spend', 'xy', 'billion', 'to', 'get', 'the', '3b', 'discount', 'to', 'say', 'he', 'would', 'take', '3b', 'from', 'firemen', 'police', 'nurses', 'and', 'so', 'on', 'is']","['tax', 'break', 'would', 'spend', 'xy', 'billion', 'get', '3b', 'discount', 'say', 'would', 'take', '3b', 'firemen', 'police', 'nurses']","['tax', 'break', 'would', 'spend', 'xy', 'billion', 'get', '3b', 'discount', 'say', 'would', 'take', '3b', 'firemen', 'polic', 'nurs']","['tax', 'break', 'would', 'spend', 'xy', 'billion', 'get', '3b', 'discount', 'say', 'would', 'take', '3b', 'firemen', 'police', 'nurses']",1,Slovenia
2022-06-04 15:32:12+00:00,1533109370573168641,"How there are planning the fullest control of humanity or population and will take your life what you own or you won't really the ""GREAT RESET"" NO THINGS ( HOME, CAR, CLOTHES, FOOD, HEALTH, TRAVEL, NO OPINION ) JUST SHUT UP AND GO WITH IT!
https://t.co/HVsUBcZnaR",jacky_038,"Maribor, Slovenia",0,0,0,0,Hi to all i am interested in everything #IOT#IOE#IIOT#INDUSTRY4.0#SMARTCITY#ARTIFICIALINTELLIGENCE#AI#ROBOTS#DRONES#VR#AR#CHATBOTS and all that's out there :),725,,how there are planning the fullest control of humanity or population and will take your life what you own or you wont really the great reset no things home car clothes food health travel no opinion just shut up and go with it,"['how', 'there', 'are', 'planning', 'the', 'fullest', 'control', 'of', 'humanity', 'or', 'population', 'and', 'will', 'take', 'your', 'life', 'what', 'you', 'own', 'or', 'you', 'wont', 'really', 'the', 'great', 'reset', 'no', 'things', 'home', 'car', 'clothes', 'food', 'health', 'travel', 'no', 'opinion', 'just', 'shut', 'up', 'and', 'go', 'with', 'it']","['planning', 'fullest', 'control', 'humanity', 'population', 'take', 'life', 'wont', 'really', 'great', 'reset', 'things', 'home', 'car', 'clothes', 'food', 'health', 'travel', 'opinion', 'shut', 'go']","['plan', 'fullest', 'control', 'human', 'popul', 'take', 'life', 'wont', 'realli', 'great', 'reset', 'thing', 'home', 'car', 'cloth', 'food', 'health', 'travel', 'opinion', 'shut', 'go']","['planning', 'fullest', 'control', 'humanity', 'population', 'take', 'life', 'wont', 'really', 'great', 'reset', 'things', 'home', 'car', 'clothes', 'food', 'health', 'travel', 'opinion', 'shut', 'go']",5,Slovenia
2022-06-03 09:57:25+00:00,1532662730351595521,"On this #WorldBicycleDay, let us promote cycling for better health and the environment. 
#ifeelsLOVEnia #sloveniaoutdoor #GlobalGoals 

#twitterpoll: Do you rent or take your own bicycle while you are on holiday?",SloveniaInfo,"Ljubljana, Slovenia",6,0,2,0,"The Official account for Slovenian Tourism, managed by Slovenian Tourist Board (@tourism_slo). What is your way of feeling #Slovenia? #ifeelsLOVEnia #myway💚",52864,"['WorldBicycleDay', 'ifeelsLOVEnia', 'sloveniaoutdoor', 'GlobalGoals', 'twitterpoll']",on this worldbicycleday let us promote cycling for better health and the environment ifeelslovenia sloveniaoutdoor globalgoals twitterpoll do you rent or take your own bicycle while you are on holiday,"['on', 'this', 'worldbicycleday', 'let', 'us', 'promote', 'cycling', 'for', 'better', 'health', 'and', 'the', 'environment', 'ifeelslovenia', 'sloveniaoutdoor', 'globalgoals', 'twitterpoll', 'do', 'you', 'rent', 'or', 'take', 'your', 'own', 'bicycle', 'while', 'you', 'are', 'on', 'holiday']","['worldbicycleday', 'let', 'us', 'promote', 'cycling', 'better', 'health', 'environment', 'ifeelslovenia', 'sloveniaoutdoor', 'globalgoals', 'twitterpoll', 'rent', 'take', 'bicycle', 'holiday']","['worldbicycleday', 'let', 'us', 'promot', 'cycl', 'better', 'health', 'environ', 'ifeelslovenia', 'sloveniaoutdoor', 'globalgo', 'twitterpol', 'rent', 'take', 'bicycl', 'holiday']","['worldbicycleday', 'let', 'us', 'promote', 'cycling', 'better', 'health', 'environment', 'ifeelslovenia', 'sloveniaoutdoor', 'globalgoals', 'twitterpoll', 'rent', 'take', 'bicycle', 'holiday']",5,Slovenia
