Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2020-04-16 20:29:35+00:00,1250884063642165249,"Einzig klare offiz. Stimme bisher: Die Menschenrechtskommissarin des Europarates: „The COVID-19 crisis cannot justify knowingly abandoning people to drown, leaving rescued migrants stranded at sea, or seeing them effectively returned to Libya  to grave human rights violations.“ https://t.co/9vsLPBEFrk",datt_thomas,Leipzig,6,0,5,0,Freier Journalist | Team GKD Leipzig | Jakob will im Lotto gewinnen. 3 Wo betet er. Nichts. Er flucht. Der Himmel öffnet sich. Gott: „Kauf‘ endlich ein Los.“,3300,,einzig klare offiz stimme bisher die menschenrechtskommissarin des europarates the covid19 crisis cannot justify knowingly abandoning people to drown leaving rescued migrants stranded at sea or seeing them effectively returned to libya to grave human rights violations,"['einzig', 'klare', 'offiz', 'stimme', 'bisher', 'die', 'menschenrechtskommissarin', 'des', 'europarates', 'the', 'covid19', 'crisis', 'cannot', 'justify', 'knowingly', 'abandoning', 'people', 'to', 'drown', 'leaving', 'rescued', 'migrants', 'stranded', 'at', 'sea', 'or', 'seeing', 'them', 'effectively', 'returned', 'to', 'libya', 'to', 'grave', 'human', 'rights', 'violations']","['einzig', 'klare', 'offiz', 'stimme', 'bisher', 'die', 'menschenrechtskommissarin', 'des', 'europarates', 'covid19', 'crisis', 'cannot', 'justify', 'knowingly', 'abandoning', 'people', 'drown', 'leaving', 'rescued', 'migrants', 'stranded', 'sea', 'seeing', 'effectively', 'returned', 'libya', 'grave', 'human', 'rights', 'violations']","['einzig', 'klare', 'offiz', 'stimm', 'bisher', 'die', 'menschenrechtskommissarin', 'de', 'europar', 'covid19', 'crisi', 'cannot', 'justifi', 'knowingli', 'abandon', 'peopl', 'drown', 'leav', 'rescu', 'migrant', 'strand', 'sea', 'see', 'effect', 'return', 'libya', 'grave', 'human', 'right', 'violat']","['einzig', 'klare', 'offiz', 'stimme', 'bisher', 'die', 'menschenrechtskommissarin', 'des', 'europarates', 'covid19', 'crisis', 'cannot', 'justify', 'knowingly', 'abandoning', 'people', 'drown', 'leaving', 'rescued', 'migrants', 'stranded', 'sea', 'seeing', 'effectively', 'returned', 'libya', 'grave', 'human', 'rights', 'violations']",1,Germany
2020-04-16 07:40:11+00:00,1250690437830062080,Britain's Shamefully admitted to the benefits of its #migrants amidst #COVID19 saga. In fact #Migrant doctors safe the life of #BorisJohnson,MrOusnjie,Germany,0,0,0,0,freelance on global @migration and @migrants issues.,28,"['migrants', 'COVID19', 'Migrant', 'BorisJohnson']",britains shamefully admitted to the benefits of its migrants amidst covid19 saga in fact migrant doctors safe the life of borisjohnson,"['britains', 'shamefully', 'admitted', 'to', 'the', 'benefits', 'of', 'its', 'migrants', 'amidst', 'covid19', 'saga', 'in', 'fact', 'migrant', 'doctors', 'safe', 'the', 'life', 'of', 'borisjohnson']","['britains', 'shamefully', 'admitted', 'benefits', 'migrants', 'amidst', 'covid19', 'saga', 'fact', 'migrant', 'doctors', 'safe', 'life', 'borisjohnson']","['britain', 'shame', 'admit', 'benefit', 'migrant', 'amidst', 'covid19', 'saga', 'fact', 'migrant', 'doctor', 'safe', 'life', 'borisjohnson']","['britains', 'shamefully', 'admitted', 'benefits', 'migrants', 'amidst', 'covid19', 'saga', 'fact', 'migrant', 'doctors', 'safe', 'life', 'borisjohnson']",1,Germany
2020-04-14 10:05:14+00:00,1250002165378232320,Migrant farm workers from Jamaica are being forced to sign COVID-19 waivers https://t.co/I7iPChhzyr via @torontostar,IanWard38283955,,1,0,1,0,"Germany via Jamaica, Botswana and Zimbabwe.",79,,migrant farm workers from jamaica are being forced to sign covid19 waivers via,"['migrant', 'farm', 'workers', 'from', 'jamaica', 'are', 'being', 'forced', 'to', 'sign', 'covid19', 'waivers', 'via']","['migrant', 'farm', 'workers', 'jamaica', 'forced', 'sign', 'covid19', 'waivers', 'via']","['migrant', 'farm', 'worker', 'jamaica', 'forc', 'sign', 'covid19', 'waiver', 'via']","['migrant', 'farm', 'workers', 'jamaica', 'forced', 'sign', 'covid19', 'waivers', 'via']",1,Germany
2020-04-12 16:27:11+00:00,1249373508859318273,"Sindh Govt. is practicing the Islamic Way of Charity i.e. ""Give in such a way that even your left hand doesn't know"". Hats off to you Sindh Govt. No body knows where are going the funds which you collected by deducting salaries of employees.
@SindhCMHouse @SindhHealthDpt
#COVID19",memon_waqarali,Not Your Concern,1,0,0,0,The person who only obeisance to Allah.,68,['COVID19'],sindh govt is practicing the islamic way of charity ie give in such a way that even your left hand doesnt know hats off to you sindh govt no body knows where are going the funds which you collected by deducting salaries of employees covid19,"['sindh', 'govt', 'is', 'practicing', 'the', 'islamic', 'way', 'of', 'charity', 'ie', 'give', 'in', 'such', 'a', 'way', 'that', 'even', 'your', 'left', 'hand', 'doesnt', 'know', 'hats', 'off', 'to', 'you', 'sindh', 'govt', 'no', 'body', 'knows', 'where', 'are', 'going', 'the', 'funds', 'which', 'you', 'collected', 'by', 'deducting', 'salaries', 'of', 'employees', 'covid19']","['sindh', 'govt', 'practicing', 'islamic', 'way', 'charity', 'ie', 'give', 'way', 'even', 'left', 'hand', 'doesnt', 'know', 'hats', 'sindh', 'govt', 'body', 'knows', 'going', 'funds', 'collected', 'deducting', 'salaries', 'employees', 'covid19']","['sindh', 'govt', 'practic', 'islam', 'way', 'chariti', 'ie', 'give', 'way', 'even', 'left', 'hand', 'doesnt', 'know', 'hat', 'sindh', 'govt', 'bodi', 'know', 'go', 'fund', 'collect', 'deduct', 'salari', 'employe', 'covid19']","['sindh', 'govt', 'practicing', 'islamic', 'way', 'charity', 'ie', 'give', 'way', 'even', 'left', 'hand', 'doesnt', 'know', 'hats', 'sindh', 'govt', 'body', 'knows', 'going', 'funds', 'collected', 'deducting', 'salaries', 'employees', 'covid19']",1,Germany
2022-06-01 09:40:19+00:00,1531933651977519106,"@PrataArkitektur @XtineMilrod LOL the disabled. Shall we even start to talk about how your country cares for immunocomprosed and the elderly as if pertains to COVID, or should we just stop here? Charity and kind gestures are not the same. Rich people “donate to charity”. Normal people do kind gestures.",omg_butter,"Leipzig, Germany",1,0,1,0,USian violist in DE | 🇺🇸🇨🇺🇪🇸🇳🇱🏳️‍🌈 | he/him | Ⓥ | ADD af,523,,lol the disabled shall we even start to talk about how your country cares for immunocomprosed and the elderly as if pertains to covid or should we just stop here charity and kind gestures are not the same rich people donate to charity normal people do kind gestures,"['lol', 'the', 'disabled', 'shall', 'we', 'even', 'start', 'to', 'talk', 'about', 'how', 'your', 'country', 'cares', 'for', 'immunocomprosed', 'and', 'the', 'elderly', 'as', 'if', 'pertains', 'to', 'covid', 'or', 'should', 'we', 'just', 'stop', 'here', 'charity', 'and', 'kind', 'gestures', 'are', 'not', 'the', 'same', 'rich', 'people', 'donate', 'to', 'charity', 'normal', 'people', 'do', 'kind', 'gestures']","['lol', 'disabled', 'shall', 'even', 'start', 'talk', 'country', 'cares', 'immunocomprosed', 'elderly', 'pertains', 'covid', 'stop', 'charity', 'kind', 'gestures', 'rich', 'people', 'donate', 'charity', 'normal', 'people', 'kind', 'gestures']","['lol', 'disabl', 'shall', 'even', 'start', 'talk', 'countri', 'care', 'immunocompros', 'elderli', 'pertain', 'covid', 'stop', 'chariti', 'kind', 'gestur', 'rich', 'peopl', 'donat', 'chariti', 'normal', 'peopl', 'kind', 'gestur']","['lol', 'disabled', 'shall', 'even', 'start', 'talk', 'country', 'cares', 'immunocomprosed', 'elderly', 'pertains', 'covid', 'stop', 'charity', 'kind', 'gestures', 'rich', 'people', 'donate', 'charity', 'normal', 'people', 'kind', 'gestures']",1,Germany
2021-03-04 13:12:30+00:00,1367462960260657152,#CatholicTwitter please say a prayer that my covid test is negative so that I can travel home to Ireland to receive care for my baby (22w). He has an omphalocele and requires experienced care. Also please pray that my husband is granted convalescent leave by the US Army 1/,trcatholic7,"Dublin City, Ireland",5,2,0,0,Roman Catholic || Wife || Mother || Pro life || TLM,238,['CatholicTwitter'],catholictwitter please say a prayer that my covid test is negative so that i can travel home to ireland to receive care for my baby 22w he has an omphalocele and requires experienced care also please pray that my husband is granted convalescent leave by the us army 1,"['catholictwitter', 'please', 'say', 'a', 'prayer', 'that', 'my', 'covid', 'test', 'is', 'negative', 'so', 'that', 'i', 'can', 'travel', 'home', 'to', 'ireland', 'to', 'receive', 'care', 'for', 'my', 'baby', '22w', 'he', 'has', 'an', 'omphalocele', 'and', 'requires', 'experienced', 'care', 'also', 'please', 'pray', 'that', 'my', 'husband', 'is', 'granted', 'convalescent', 'leave', 'by', 'the', 'us', 'army', '1']","['catholictwitter', 'please', 'say', 'prayer', 'covid', 'test', 'negative', 'travel', 'home', 'ireland', 'receive', 'care', 'baby', '22w', 'omphalocele', 'requires', 'experienced', 'care', 'also', 'please', 'pray', 'husband', 'granted', 'convalescent', 'leave', 'us', 'army', '1']","['catholictwitt', 'pleas', 'say', 'prayer', 'covid', 'test', 'neg', 'travel', 'home', 'ireland', 'receiv', 'care', 'babi', '22w', 'omphalocel', 'requir', 'experienc', 'care', 'also', 'pleas', 'pray', 'husband', 'grant', 'convalesc', 'leav', 'us', 'armi', '1']","['catholictwitter', 'please', 'say', 'prayer', 'covid', 'test', 'negative', 'travel', 'home', 'ireland', 'receive', 'care', 'baby', '22w', 'omphalocele', 'requires', 'experienced', 'care', 'also', 'please', 'pray', 'husband', 'granted', 'convalescent', 'leave', 'us', 'army', '1']",1,Germany
2020-04-16 20:29:35+00:00,1250884063642165249,"Einzig klare offiz. Stimme bisher: Die Menschenrechtskommissarin des Europarates: „The COVID-19 crisis cannot justify knowingly abandoning people to drown, leaving rescued migrants stranded at sea, or seeing them effectively returned to Libya  to grave human rights violations.“ https://t.co/9vsLPBEFrk",datt_thomas,Leipzig,6,0,5,0,Freier Journalist | Team GKD Leipzig | Jakob will im Lotto gewinnen. 3 Wo betet er. Nichts. Er flucht. Der Himmel öffnet sich. Gott: „Kauf‘ endlich ein Los.“,3300,,einzig klare offiz stimme bisher die menschenrechtskommissarin des europarates the covid19 crisis cannot justify knowingly abandoning people to drown leaving rescued migrants stranded at sea or seeing them effectively returned to libya to grave human rights violations,"['einzig', 'klare', 'offiz', 'stimme', 'bisher', 'die', 'menschenrechtskommissarin', 'des', 'europarates', 'the', 'covid19', 'crisis', 'cannot', 'justify', 'knowingly', 'abandoning', 'people', 'to', 'drown', 'leaving', 'rescued', 'migrants', 'stranded', 'at', 'sea', 'or', 'seeing', 'them', 'effectively', 'returned', 'to', 'libya', 'to', 'grave', 'human', 'rights', 'violations']","['einzig', 'klare', 'offiz', 'stimme', 'bisher', 'die', 'menschenrechtskommissarin', 'des', 'europarates', 'covid19', 'crisis', 'cannot', 'justify', 'knowingly', 'abandoning', 'people', 'drown', 'leaving', 'rescued', 'migrants', 'stranded', 'sea', 'seeing', 'effectively', 'returned', 'libya', 'grave', 'human', 'rights', 'violations']","['einzig', 'klare', 'offiz', 'stimm', 'bisher', 'die', 'menschenrechtskommissarin', 'de', 'europar', 'covid19', 'crisi', 'cannot', 'justifi', 'knowingli', 'abandon', 'peopl', 'drown', 'leav', 'rescu', 'migrant', 'strand', 'sea', 'see', 'effect', 'return', 'libya', 'grave', 'human', 'right', 'violat']","['einzig', 'klare', 'offiz', 'stimme', 'bisher', 'die', 'menschenrechtskommissarin', 'des', 'europarates', 'covid19', 'crisis', 'cannot', 'justify', 'knowingly', 'abandoning', 'people', 'drown', 'leaving', 'rescued', 'migrants', 'stranded', 'sea', 'seeing', 'effectively', 'returned', 'libya', 'grave', 'human', 'rights', 'violations']",1,Germany
2020-03-28 11:54:08+00:00,1243868975127310338,"Covid spreading, people are dying, not enough tests nor facilities are provided, migrant workers are walking on foot. 

But what leaders care about is 👇🏻
Cable tv, Mahabharat. Ithula India fights corona hashtag. https://t.co/LUC4YFbxij",sennoritaKavya,,0,0,0,0,Chasing sunsets ✨,713,,covid spreading people are dying not enough tests nor facilities are provided migrant workers are walking on foot but what leaders care about is cable tv mahabharat ithula india fights corona hashtag,"['covid', 'spreading', 'people', 'are', 'dying', 'not', 'enough', 'tests', 'nor', 'facilities', 'are', 'provided', 'migrant', 'workers', 'are', 'walking', 'on', 'foot', 'but', 'what', 'leaders', 'care', 'about', 'is', 'cable', 'tv', 'mahabharat', 'ithula', 'india', 'fights', 'corona', 'hashtag']","['covid', 'spreading', 'people', 'dying', 'enough', 'tests', 'facilities', 'provided', 'migrant', 'workers', 'walking', 'foot', 'leaders', 'care', 'cable', 'tv', 'mahabharat', 'ithula', 'india', 'fights', 'corona', 'hashtag']","['covid', 'spread', 'peopl', 'die', 'enough', 'test', 'facil', 'provid', 'migrant', 'worker', 'walk', 'foot', 'leader', 'care', 'cabl', 'tv', 'mahabharat', 'ithula', 'india', 'fight', 'corona', 'hashtag']","['covid', 'spreading', 'people', 'dying', 'enough', 'tests', 'facilities', 'provided', 'migrant', 'workers', 'walking', 'foot', 'leaders', 'care', 'cable', 'tv', 'mahabharat', 'ithula', 'india', 'fights', 'corona', 'hashtag']",1,Germany
2022-06-13 11:35:44+00:00,1536311353358618626,"In the morning session of the 4th GAGO Conference on Science policy, grant manager of @ReMO_COST @b_p_cahill provided insight into the effects of the COVID-19 pandemic on the mental health of early-career researchers. #academicmentalhealth @ISE_news https://t.co/E7jC5gnH43 https://t.co/1vEFF39acR",ReMO_COST,"Hannover, Germany",10,0,3,0,The ReMO COST Action CA19117 is an international network focussed on wellbeing and mental health within academia. Funded by @COSTprogramme.,1025,['academicmentalhealth'],in the morning session of the 4th gago conference on science policy grant manager of provided insight into the effects of the covid19 pandemic on the mental health of earlycareer researchers academicmentalhealth,"['in', 'the', 'morning', 'session', 'of', 'the', '4th', 'gago', 'conference', 'on', 'science', 'policy', 'grant', 'manager', 'of', 'provided', 'insight', 'into', 'the', 'effects', 'of', 'the', 'covid19', 'pandemic', 'on', 'the', 'mental', 'health', 'of', 'earlycareer', 'researchers', 'academicmentalhealth']","['morning', 'session', '4th', 'gago', 'conference', 'science', 'policy', 'grant', 'manager', 'provided', 'insight', 'effects', 'covid19', 'pandemic', 'mental', 'health', 'earlycareer', 'researchers', 'academicmentalhealth']","['morn', 'session', '4th', 'gago', 'confer', 'scienc', 'polici', 'grant', 'manag', 'provid', 'insight', 'effect', 'covid19', 'pandem', 'mental', 'health', 'earlycar', 'research', 'academicmentalhealth']","['morning', 'session', '4th', 'gago', 'conference', 'science', 'policy', 'grant', 'manager', 'provided', 'insight', 'effects', 'covid19', 'pandemic', 'mental', 'health', 'earlycareer', 'researchers', 'academicmentalhealth']",4,Germany
2022-06-02 21:00:01+00:00,1532467091353264131,"As Thai law does not recognise their right to unionize, migrant workers have started to create their own forms of labour solidarity and organisation, especially as the migrant and refugee worker population has increased following the coup in Myanmar.
https://t.co/pLvao6fHQR",MaxMolab,"Halle (Saale), Germany",3,0,1,0,"Led by Biao Xiang at the Max Planck Institute for Social Anthropology, MoLab explores new research angles on the movements of people, things, data and energy.",683,,as thai law does not recognise their right to unionize migrant workers have started to create their own forms of labour solidarity and organisation especially as the migrant and refugee worker population has increased following the coup in myanmar,"['as', 'thai', 'law', 'does', 'not', 'recognise', 'their', 'right', 'to', 'unionize', 'migrant', 'workers', 'have', 'started', 'to', 'create', 'their', 'own', 'forms', 'of', 'labour', 'solidarity', 'and', 'organisation', 'especially', 'as', 'the', 'migrant', 'and', 'refugee', 'worker', 'population', 'has', 'increased', 'following', 'the', 'coup', 'in', 'myanmar']","['thai', 'law', 'recognise', 'right', 'unionize', 'migrant', 'workers', 'started', 'create', 'forms', 'labour', 'solidarity', 'organisation', 'especially', 'migrant', 'refugee', 'worker', 'population', 'increased', 'following', 'coup', 'myanmar']","['thai', 'law', 'recognis', 'right', 'union', 'migrant', 'worker', 'start', 'creat', 'form', 'labour', 'solidar', 'organis', 'especi', 'migrant', 'refuge', 'worker', 'popul', 'increas', 'follow', 'coup', 'myanmar']","['thai', 'law', 'recognise', 'right', 'unionize', 'migrant', 'workers', 'started', 'create', 'forms', 'labour', 'solidarity', 'organisation', 'especially', 'migrant', 'refugee', 'worker', 'population', 'increased', 'following', 'coup', 'myanmar']",2,Germany
