Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-05-31 08:48:44+00:00,1531558283013763077,"""Family, Faith, Flag, Fiscal Responsibility and a Five Pound Voucher* to help you pay your Gas Bill""

* One voucher per household, households must contain 2 working parents and a child with good SAT test results in Business Awareness &amp; Customer Service. Terms and Conditions apply https://t.co/yJKNFvcZnr",disconnect1187,Bin,4,0,1,0,It's all such a waste of my valueless time,2867,,family faith flag fiscal responsibility and a five pound voucher to help you pay your gas bill one voucher per household households must contain 2 working parents and a child with good sat test results in business awareness amp customer service terms and conditions apply,"['family', 'faith', 'flag', 'fiscal', 'responsibility', 'and', 'a', 'five', 'pound', 'voucher', 'to', 'help', 'you', 'pay', 'your', 'gas', 'bill', 'one', 'voucher', 'per', 'household', 'households', 'must', 'contain', '2', 'working', 'parents', 'and', 'a', 'child', 'with', 'good', 'sat', 'test', 'results', 'in', 'business', 'awareness', 'amp', 'customer', 'service', 'terms', 'and', 'conditions', 'apply']","['family', 'faith', 'flag', 'fiscal', 'responsibility', 'five', 'pound', 'voucher', 'help', 'pay', 'gas', 'bill', 'one', 'voucher', 'per', 'household', 'households', 'must', 'contain', '2', 'working', 'parents', 'child', 'good', 'sat', 'test', 'results', 'business', 'awareness', 'amp', 'customer', 'service', 'terms', 'conditions', 'apply']","['famili', 'faith', 'flag', 'fiscal', 'respons', 'five', 'pound', 'voucher', 'help', 'pay', 'ga', 'bill', 'one', 'voucher', 'per', 'household', 'household', 'must', 'contain', '2', 'work', 'parent', 'child', 'good', 'sat', 'test', 'result', 'busi', 'awar', 'amp', 'custom', 'servic', 'term', 'condit', 'appli']","['family', 'faith', 'flag', 'fiscal', 'responsibility', 'five', 'pound', 'voucher', 'help', 'pay', 'gas', 'bill', 'one', 'voucher', 'per', 'household', 'households', 'must', 'contain', '2', 'working', 'parents', 'child', 'good', 'sat', 'test', 'results', 'business', 'awareness', 'amp', 'customer', 'service', 'terms', 'conditions', 'apply']",5,Iran
2022-06-07 15:13:24+00:00,1534191803028611075,"#Kuwait_Ports_Authority has deposited the front-line workers incentive reward for work during the Covid-19 pandemic in their accounts, after the approval of all the regulatory authorities, and a grievance committee was formed in this regard.",KuwaitPorts,Kuwait,1,0,0,0,"‏‏‏الحساب الرسمي لمؤسسة الموانئ الكويتية

Official account for the Kuwait Ports Authority",4351,['Kuwait_Ports_Authority'],kuwaitportsauthority has deposited the frontline workers incentive reward for work during the covid19 pandemic in their accounts after the approval of all the regulatory authorities and a grievance committee was formed in this regard,"['kuwaitportsauthority', 'has', 'deposited', 'the', 'frontline', 'workers', 'incentive', 'reward', 'for', 'work', 'during', 'the', 'covid19', 'pandemic', 'in', 'their', 'accounts', 'after', 'the', 'approval', 'of', 'all', 'the', 'regulatory', 'authorities', 'and', 'a', 'grievance', 'committee', 'was', 'formed', 'in', 'this', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']","['kuwaitportsauthor', 'deposit', 'frontlin', 'worker', 'incent', 'reward', 'work', 'covid19', 'pandem', 'account', 'approv', 'regulatori', 'author', 'grievanc', 'committe', 'form', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']",1,Iran
2022-06-07 15:13:24+00:00,1534191803028611075,"#Kuwait_Ports_Authority has deposited the front-line workers incentive reward for work during the Covid-19 pandemic in their accounts, after the approval of all the regulatory authorities, and a grievance committee was formed in this regard.",KuwaitPorts,Kuwait,1,0,0,0,"‏‏‏الحساب الرسمي لمؤسسة الموانئ الكويتية

Official account for the Kuwait Ports Authority",4351,['Kuwait_Ports_Authority'],kuwaitportsauthority has deposited the frontline workers incentive reward for work during the covid19 pandemic in their accounts after the approval of all the regulatory authorities and a grievance committee was formed in this regard,"['kuwaitportsauthority', 'has', 'deposited', 'the', 'frontline', 'workers', 'incentive', 'reward', 'for', 'work', 'during', 'the', 'covid19', 'pandemic', 'in', 'their', 'accounts', 'after', 'the', 'approval', 'of', 'all', 'the', 'regulatory', 'authorities', 'and', 'a', 'grievance', 'committee', 'was', 'formed', 'in', 'this', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']","['kuwaitportsauthor', 'deposit', 'frontlin', 'worker', 'incent', 'reward', 'work', 'covid19', 'pandem', 'account', 'approv', 'regulatori', 'author', 'grievanc', 'committe', 'form', 'regard']","['kuwaitportsauthority', 'deposited', 'frontline', 'workers', 'incentive', 'reward', 'work', 'covid19', 'pandemic', 'accounts', 'approval', 'regulatory', 'authorities', 'grievance', 'committee', 'formed', 'regard']",1,Iran
2022-06-05 09:07:40+00:00,1533374989587685376,1/2 Sadiq Khan on Sunday Morning explains how a big splice of the air travel chaos is down to Brexit and many workers returning to the EU. ‘This is self-inflicted from the government. It’s not about Covid.’ He’d barely finished his sentence before Raworth jumped in with…,juliedg,Bahrain,76,5,33,1,"Blocked by Marcus Fysh. Writer, Kindle-lover, cinema lover, tennis player, lives in Southwest England, pro-EU Remainer #FBPE. Mad family.",1582,,12 sadiq khan on sunday morning explains how a big splice of the air travel chaos is down to brexit and many workers returning to the eu this is selfinflicted from the government its not about covid hed barely finished his sentence before raworth jumped in with,"['12', 'sadiq', 'khan', 'on', 'sunday', 'morning', 'explains', 'how', 'a', 'big', 'splice', 'of', 'the', 'air', 'travel', 'chaos', 'is', 'down', 'to', 'brexit', 'and', 'many', 'workers', 'returning', 'to', 'the', 'eu', 'this', 'is', 'selfinflicted', 'from', 'the', 'government', 'its', 'not', 'about', 'covid', 'hed', 'barely', 'finished', 'his', 'sentence', 'before', 'raworth', 'jumped', 'in', 'with']","['12', 'sadiq', 'khan', 'sunday', 'morning', 'explains', 'big', 'splice', 'air', 'travel', 'chaos', 'brexit', 'many', 'workers', 'returning', 'eu', 'selfinflicted', 'government', 'covid', 'hed', 'barely', 'finished', 'sentence', 'raworth', 'jumped']","['12', 'sadiq', 'khan', 'sunday', 'morn', 'explain', 'big', 'splice', 'air', 'travel', 'chao', 'brexit', 'mani', 'worker', 'return', 'eu', 'selfinflict', 'govern', 'covid', 'hed', 'bare', 'finish', 'sentenc', 'raworth', 'jump']","['12', 'sadiq', 'khan', 'sunday', 'morning', 'explains', 'big', 'splice', 'air', 'travel', 'chaos', 'brexit', 'many', 'workers', 'returning', 'eu', 'selfinflicted', 'government', 'covid', 'hed', 'barely', 'finished', 'sentence', 'raworth', 'jumped']",1,Iran
2022-06-02 12:33:30+00:00,1532339625775210496,"I still can’t believe I worked all through covid, was on the front line during a global pandemic and the nhs rewarded me with a small pin that says “health care hero” 😆 at least an extra day of leave or some pay pls. Even order me a dominos literally would increase morale",drmarzy,Bahrain ,0,0,0,0,الله أكبر,37,,i still cant believe i worked all through covid was on the front line during a global pandemic and the nhs rewarded me with a small pin that says health care hero at least an extra day of leave or some pay pls even order me a dominos literally would increase morale,"['i', 'still', 'cant', 'believe', 'i', 'worked', 'all', 'through', 'covid', 'was', 'on', 'the', 'front', 'line', 'during', 'a', 'global', 'pandemic', 'and', 'the', 'nhs', 'rewarded', 'me', 'with', 'a', 'small', 'pin', 'that', 'says', 'health', 'care', 'hero', 'at', 'least', 'an', 'extra', 'day', 'of', 'leave', 'or', 'some', 'pay', 'pls', 'even', 'order', 'me', 'a', 'dominos', 'literally', 'would', 'increase', 'morale']","['still', 'cant', 'believe', 'worked', 'covid', 'front', 'line', 'global', 'pandemic', 'nhs', 'rewarded', 'small', 'pin', 'says', 'health', 'care', 'hero', 'least', 'extra', 'day', 'leave', 'pay', 'pls', 'even', 'order', 'dominos', 'literally', 'would', 'increase', 'morale']","['still', 'cant', 'believ', 'work', 'covid', 'front', 'line', 'global', 'pandem', 'nh', 'reward', 'small', 'pin', 'say', 'health', 'care', 'hero', 'least', 'extra', 'day', 'leav', 'pay', 'pl', 'even', 'order', 'domino', 'liter', 'would', 'increas', 'moral']","['still', 'cant', 'believe', 'worked', 'covid', 'front', 'line', 'global', 'pandemic', 'nhs', 'rewarded', 'small', 'pin', 'says', 'health', 'care', 'hero', 'least', 'extra', 'day', 'leave', 'pay', 'pls', 'even', 'order', 'dominos', 'literally', 'would', 'increase', 'morale']",1,Iran
2022-06-01 19:53:56+00:00,1532088075152769027,"My first drop on @withFND
Mohammad and his daughter. He has a rare skin diseases(Ichthiyosis).
He's a daily-paid worker and although he has great technical skills but hasn't found a good job yet because of his disease.
*Part of the sale goes to his medical expenses.
Link below: https://t.co/qLR7zZ45Hk",sharifaee,Iran,21,2,9,2,"Interested in documentary photography, everyday life and social issues

foundation.app/@sharifaee
objkt.com/@sharifaee",2438,,my first drop on mohammad and his daughter he has a rare skin diseasesichthiyosis hes a dailypaid worker and although he has great technical skills but hasnt found a good job yet because of his disease part of the sale goes to his medical expenses link below,"['my', 'first', 'drop', 'on', 'mohammad', 'and', 'his', 'daughter', 'he', 'has', 'a', 'rare', 'skin', 'diseasesichthiyosis', 'hes', 'a', 'dailypaid', 'worker', 'and', 'although', 'he', 'has', 'great', 'technical', 'skills', 'but', 'hasnt', 'found', 'a', 'good', 'job', 'yet', 'because', 'of', 'his', 'disease', 'part', 'of', 'the', 'sale', 'goes', 'to', 'his', 'medical', 'expenses', 'link', 'below']","['first', 'drop', 'mohammad', 'daughter', 'rare', 'skin', 'diseasesichthiyosis', 'hes', 'dailypaid', 'worker', 'although', 'great', 'technical', 'skills', 'hasnt', 'found', 'good', 'job', 'yet', 'disease', 'part', 'sale', 'goes', 'medical', 'expenses', 'link']","['first', 'drop', 'mohammad', 'daughter', 'rare', 'skin', 'diseasesichthiyosi', 'he', 'dailypaid', 'worker', 'although', 'great', 'technic', 'skill', 'hasnt', 'found', 'good', 'job', 'yet', 'diseas', 'part', 'sale', 'goe', 'medic', 'expens', 'link']","['first', 'drop', 'mohammad', 'daughter', 'rare', 'skin', 'diseasesichthiyosis', 'hes', 'dailypaid', 'worker', 'although', 'great', 'technical', 'skills', 'hasnt', 'found', 'good', 'job', 'yet', 'disease', 'part', 'sale', 'goes', 'medical', 'expenses', 'link']",3,Iran
2022-05-31 02:24:05+00:00,1531461482449453056,"was looking at my pair of @TheMandrillz sales a month ago wishing I had just held and bought more ADA to purchase my higher rank rather then shave off my 'lower rank' (worker drillz)😭 now apparently @ChartFuMonkey has one of them. Can you confirm ser?

#drillzhorde #NFT #NFTs https://t.co/Y3ppJ9lpPZ",SpiritSigma,Yes,3,1,0,1,"Chillin' , shillin' + drillin'

(Never financial advice. Please, do your own research!)",1690,"['drillzhorde', 'NFT', 'NFTs']",was looking at my pair of sales a month ago wishing i had just held and bought more ada to purchase my higher rank rather then shave off my lower rank worker drillz now apparently has one of them can you confirm ser drillzhorde nft nfts,"['was', 'looking', 'at', 'my', 'pair', 'of', 'sales', 'a', 'month', 'ago', 'wishing', 'i', 'had', 'just', 'held', 'and', 'bought', 'more', 'ada', 'to', 'purchase', 'my', 'higher', 'rank', 'rather', 'then', 'shave', 'off', 'my', 'lower', 'rank', 'worker', 'drillz', 'now', 'apparently', 'has', 'one', 'of', 'them', 'can', 'you', 'confirm', 'ser', 'drillzhorde', 'nft', 'nfts']","['looking', 'pair', 'sales', 'month', 'ago', 'wishing', 'held', 'bought', 'ada', 'purchase', 'higher', 'rank', 'rather', 'shave', 'lower', 'rank', 'worker', 'drillz', 'apparently', 'one', 'confirm', 'ser', 'drillzhorde', 'nft', 'nfts']","['look', 'pair', 'sale', 'month', 'ago', 'wish', 'held', 'bought', 'ada', 'purchas', 'higher', 'rank', 'rather', 'shave', 'lower', 'rank', 'worker', 'drillz', 'appar', 'one', 'confirm', 'ser', 'drillzhord', 'nft', 'nft']","['looking', 'pair', 'sales', 'month', 'ago', 'wishing', 'held', 'bought', 'ada', 'purchase', 'higher', 'rank', 'rather', 'shave', 'lower', 'rank', 'worker', 'drillz', 'apparently', 'one', 'confirm', 'ser', 'drillzhorde', 'nft', 'nfts']",1,Iran
2022-06-07 09:25:44+00:00,1534104312116559874,Some bonus screenshots with the headgear on. https://t.co/kawoKuJcGp,MindedMeister,yes,2,0,0,0,"Cyborg VTuber, He/Him/Hug, Doing Art Stuff, Mainly 3D and NFS Modding. Aiming to bring up the scale. More to update on later. linktr.ee/meister_vt",43,,some bonus screenshots with the headgear on,"['some', 'bonus', 'screenshots', 'with', 'the', 'headgear', 'on']","['bonus', 'screenshots', 'headgear']","['bonu', 'screenshot', 'headgear']","['bonus', 'screenshots', 'headgear']",3,Iran
2022-06-01 06:29:00+00:00,1531885505402609664,The CharChar Literacy book auction is live! Would you like to buy a special copy of Woah! I Spy a Werewolf signed by Justin Davies &amp; bonus art print to support our work in Malawi helping children to achieve their reading potential? Bids: https://t.co/trkPV6OZVO @flyingscribbler https://t.co/pgR3BSCY6S,charchar_the,Malawi,3,1,2,1,"Building a brighter future for Malawi's children through literacy. Will you join us?

UK Reg Charity No.1192510
Reg in Malawi as The CharChar Trust",129,,the charchar literacy book auction is live would you like to buy a special copy of woah i spy a werewolf signed by justin davies amp bonus art print to support our work in malawi helping children to achieve their reading potential bids,"['the', 'charchar', 'literacy', 'book', 'auction', 'is', 'live', 'would', 'you', 'like', 'to', 'buy', 'a', 'special', 'copy', 'of', 'woah', 'i', 'spy', 'a', 'werewolf', 'signed', 'by', 'justin', 'davies', 'amp', 'bonus', 'art', 'print', 'to', 'support', 'our', 'work', 'in', 'malawi', 'helping', 'children', 'to', 'achieve', 'their', 'reading', 'potential', 'bids']","['charchar', 'literacy', 'book', 'auction', 'live', 'would', 'like', 'buy', 'special', 'copy', 'woah', 'spy', 'werewolf', 'signed', 'justin', 'davies', 'amp', 'bonus', 'art', 'print', 'support', 'work', 'malawi', 'helping', 'children', 'achieve', 'reading', 'potential', 'bids']","['charchar', 'literaci', 'book', 'auction', 'live', 'would', 'like', 'buy', 'special', 'copi', 'woah', 'spi', 'werewolf', 'sign', 'justin', 'davi', 'amp', 'bonu', 'art', 'print', 'support', 'work', 'malawi', 'help', 'children', 'achiev', 'read', 'potenti', 'bid']","['charchar', 'literacy', 'book', 'auction', 'live', 'would', 'like', 'buy', 'special', 'copy', 'woah', 'spy', 'werewolf', 'signed', 'justin', 'davies', 'amp', 'bonus', 'art', 'print', 'support', 'work', 'malawi', 'helping', 'children', 'achieve', 'reading', 'potential', 'bids']",5,Iran
2022-06-01 06:28:00+00:00,1531885253689856000,The CharChar Literacy book auction is live! Would you like to buy a special copy of Help! I Smell a Monster signed by Justin Davies &amp; bonus art print to support our work in Malawi helping children to achieve their reading potential? Bids: https://t.co/trkPV6OZVO @flyingscribbler https://t.co/OKDQRPkIa9,charchar_the,Malawi,2,0,1,2,"Building a brighter future for Malawi's children through literacy. Will you join us?

UK Reg Charity No.1192510
Reg in Malawi as The CharChar Trust",129,,the charchar literacy book auction is live would you like to buy a special copy of help i smell a monster signed by justin davies amp bonus art print to support our work in malawi helping children to achieve their reading potential bids,"['the', 'charchar', 'literacy', 'book', 'auction', 'is', 'live', 'would', 'you', 'like', 'to', 'buy', 'a', 'special', 'copy', 'of', 'help', 'i', 'smell', 'a', 'monster', 'signed', 'by', 'justin', 'davies', 'amp', 'bonus', 'art', 'print', 'to', 'support', 'our', 'work', 'in', 'malawi', 'helping', 'children', 'to', 'achieve', 'their', 'reading', 'potential', 'bids']","['charchar', 'literacy', 'book', 'auction', 'live', 'would', 'like', 'buy', 'special', 'copy', 'help', 'smell', 'monster', 'signed', 'justin', 'davies', 'amp', 'bonus', 'art', 'print', 'support', 'work', 'malawi', 'helping', 'children', 'achieve', 'reading', 'potential', 'bids']","['charchar', 'literaci', 'book', 'auction', 'live', 'would', 'like', 'buy', 'special', 'copi', 'help', 'smell', 'monster', 'sign', 'justin', 'davi', 'amp', 'bonu', 'art', 'print', 'support', 'work', 'malawi', 'help', 'children', 'achiev', 'read', 'potenti', 'bid']","['charchar', 'literacy', 'book', 'auction', 'live', 'would', 'like', 'buy', 'special', 'copy', 'help', 'smell', 'monster', 'signed', 'justin', 'davies', 'amp', 'bonus', 'art', 'print', 'support', 'work', 'malawi', 'helping', 'children', 'achieve', 'reading', 'potential', 'bids']",5,Iran
