Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 03:40:02+00:00,1532205374677233665,"@GFrespechman @MTGOP Apparently, you do. Thanks for increasing our stats! We appreciate your support!",MTValues,Montana,0,1,0,0,MVP highlights the issues facing our great State & lets YOU decide if those issues truly embrace the Treasure State values we hold dear.,666,,apparently you do thanks for increasing our stats we appreciate your support,"['apparently', 'you', 'do', 'thanks', 'for', 'increasing', 'our', 'stats', 'we', 'appreciate', 'your', 'support']","['apparently', 'thanks', 'increasing', 'stats', 'appreciate', 'support']","['appar', 'thank', 'increas', 'stat', 'appreci', 'support']","['apparently', 'thanks', 'increasing', 'stats', 'appreciate', 'support']",4,Bulgaria
2022-06-01 11:19:39+00:00,1531958650989711366,"@jane_sfo @MTGOP @SuptArntzen @MontanaOPI Thank you, Jane. We truly appreciate your kind words &amp; your support of the show. We realize we may not always agree on everything, but we don't have to be disagreeable! Robust debate/discussion is healthy &amp; it can be done the Montana way, with a little humor &amp; civility.",MTValues,Montana,4,0,1,0,MVP highlights the issues facing our great State & lets YOU decide if those issues truly embrace the Treasure State values we hold dear.,666,,thank you jane we truly appreciate your kind words amp your support of the show we realize we may not always agree on everything but we dont have to be disagreeable robust debatediscussion is healthy amp it can be done the montana way with a little humor amp civility,"['thank', 'you', 'jane', 'we', 'truly', 'appreciate', 'your', 'kind', 'words', 'amp', 'your', 'support', 'of', 'the', 'show', 'we', 'realize', 'we', 'may', 'not', 'always', 'agree', 'on', 'everything', 'but', 'we', 'dont', 'have', 'to', 'be', 'disagreeable', 'robust', 'debatediscussion', 'is', 'healthy', 'amp', 'it', 'can', 'be', 'done', 'the', 'montana', 'way', 'with', 'a', 'little', 'humor', 'amp', 'civility']","['thank', 'jane', 'truly', 'appreciate', 'kind', 'words', 'amp', 'support', 'show', 'realize', 'may', 'always', 'agree', 'everything', 'dont', 'disagreeable', 'robust', 'debatediscussion', 'healthy', 'amp', 'done', 'montana', 'way', 'little', 'humor', 'amp', 'civility']","['thank', 'jane', 'truli', 'appreci', 'kind', 'word', 'amp', 'support', 'show', 'realiz', 'may', 'alway', 'agre', 'everyth', 'dont', 'disagre', 'robust', 'debatediscuss', 'healthi', 'amp', 'done', 'montana', 'way', 'littl', 'humor', 'amp', 'civil']","['thank', 'jane', 'truly', 'appreciate', 'kind', 'words', 'amp', 'support', 'show', 'realize', 'may', 'always', 'agree', 'everything', 'dont', 'disagreeable', 'robust', 'debatediscussion', 'healthy', 'amp', 'done', 'montana', 'way', 'little', 'humor', 'amp', 'civility']",5,Bulgaria
2022-05-30 16:48:30+00:00,1531316632416669696,"To all those who promised if sick they'd refuse treatment from an unvxd worker &amp; or proposed unvxd not be treated..because choices have consequences.
If you need health service due to vaccine, should your treatment be denied..because choices have consequences &amp; u take up beds?",RogertheGoodwin,"Thessaloniki, Greece",42,3,11,1,Truth. Objectivity. Empathy. Respect. Kindness.,319,,to all those who promised if sick theyd refuse treatment from an unvxd worker amp or proposed unvxd not be treatedbecause choices have consequences if you need health service due to vaccine should your treatment be deniedbecause choices have consequences amp u take up beds,"['to', 'all', 'those', 'who', 'promised', 'if', 'sick', 'theyd', 'refuse', 'treatment', 'from', 'an', 'unvxd', 'worker', 'amp', 'or', 'proposed', 'unvxd', 'not', 'be', 'treatedbecause', 'choices', 'have', 'consequences', 'if', 'you', 'need', 'health', 'service', 'due', 'to', 'vaccine', 'should', 'your', 'treatment', 'be', 'deniedbecause', 'choices', 'have', 'consequences', 'amp', 'u', 'take', 'up', 'beds']","['promised', 'sick', 'theyd', 'refuse', 'treatment', 'unvxd', 'worker', 'amp', 'proposed', 'unvxd', 'treatedbecause', 'choices', 'consequences', 'need', 'health', 'service', 'due', 'vaccine', 'treatment', 'deniedbecause', 'choices', 'consequences', 'amp', 'u', 'take', 'beds']","['promis', 'sick', 'theyd', 'refus', 'treatment', 'unvxd', 'worker', 'amp', 'propos', 'unvxd', 'treatedbecaus', 'choic', 'consequ', 'need', 'health', 'servic', 'due', 'vaccin', 'treatment', 'deniedbecaus', 'choic', 'consequ', 'amp', 'u', 'take', 'bed']","['promised', 'sick', 'theyd', 'refuse', 'treatment', 'unvxd', 'worker', 'amp', 'proposed', 'unvxd', 'treatedbecause', 'choices', 'consequences', 'need', 'health', 'service', 'due', 'vaccine', 'treatment', 'deniedbecause', 'choices', 'consequences', 'amp', 'u', 'take', 'beds']",1,Bulgaria
2022-06-01 23:49:02+00:00,1532147240772554755,"@cageslader911 @khendriix_ By listening to both parties. By creating safe, supporting environments where they can both tell their stories. By guaranteeing them none of them will be shunned or gain power and/or benefits from the disclosure&amp;healing process, but both will receive appropiate support &amp; guidance",MihaelaBiolan,Bucharest,0,1,0,0,"Pragmatic revolutionary&skeptical idealist, feminist, queer af, anti-authoritarian to the bone. Genderfluid bi/pan. them/it",1115,,by listening to both parties by creating safe supporting environments where they can both tell their stories by guaranteeing them none of them will be shunned or gain power andor benefits from the disclosureamphealing process but both will receive appropiate support amp guidance,"['by', 'listening', 'to', 'both', 'parties', 'by', 'creating', 'safe', 'supporting', 'environments', 'where', 'they', 'can', 'both', 'tell', 'their', 'stories', 'by', 'guaranteeing', 'them', 'none', 'of', 'them', 'will', 'be', 'shunned', 'or', 'gain', 'power', 'andor', 'benefits', 'from', 'the', 'disclosureamphealing', 'process', 'but', 'both', 'will', 'receive', 'appropiate', 'support', 'amp', 'guidance']","['listening', 'parties', 'creating', 'safe', 'supporting', 'environments', 'tell', 'stories', 'guaranteeing', 'none', 'shunned', 'gain', 'power', 'andor', 'benefits', 'disclosureamphealing', 'process', 'receive', 'appropiate', 'support', 'amp', 'guidance']","['listen', 'parti', 'creat', 'safe', 'support', 'environ', 'tell', 'stori', 'guarante', 'none', 'shun', 'gain', 'power', 'andor', 'benefit', 'disclosureamph', 'process', 'receiv', 'appropi', 'support', 'amp', 'guidanc']","['listening', 'parties', 'creating', 'safe', 'supporting', 'environments', 'tell', 'stories', 'guaranteeing', 'none', 'shunned', 'gain', 'power', 'andor', 'benefits', 'disclosureamphealing', 'process', 'receive', 'appropiate', 'support', 'amp', 'guidance']",4,Bulgaria
2022-05-31 05:45:09+00:00,1531512085347278848,"Thank you very much! 
Indeed you`ve got a nice Carpathian Bison with GOLD benefits because he is on first 200 minted!
Take care of him &amp; thanks for your support👏 https://t.co/7gmnAXHi9U",Elvila_digital,Bucharest,7,0,2,0,#Discord discord.gg/Pdw9eG5T83,1121,,thank you very much indeed youve got a nice carpathian bison with gold benefits because he is on first 200 minted take care of him amp thanks for your support,"['thank', 'you', 'very', 'much', 'indeed', 'youve', 'got', 'a', 'nice', 'carpathian', 'bison', 'with', 'gold', 'benefits', 'because', 'he', 'is', 'on', 'first', '200', 'minted', 'take', 'care', 'of', 'him', 'amp', 'thanks', 'for', 'your', 'support']","['thank', 'much', 'indeed', 'youve', 'got', 'nice', 'carpathian', 'bison', 'gold', 'benefits', 'first', '200', 'minted', 'take', 'care', 'amp', 'thanks', 'support']","['thank', 'much', 'inde', 'youv', 'got', 'nice', 'carpathian', 'bison', 'gold', 'benefit', 'first', '200', 'mint', 'take', 'care', 'amp', 'thank', 'support']","['thank', 'much', 'indeed', 'youve', 'got', 'nice', 'carpathian', 'bison', 'gold', 'benefits', 'first', '200', 'minted', 'take', 'care', 'amp', 'thanks', 'support']",5,Bulgaria
2022-05-30 14:10:51+00:00,1531276957463224322,"From traditional #herbal extracts to modern amino acids, the Cilexin formula supports many aspects of male #sexual #health. Shop now: https://t.co/z78tWZzhuE",suryafarmer,"Kırklareli, Türkiye",0,0,0,0,🧬🌡🔬Renewable energy enthusiast and investor💸💰🐸,121,"['herbal', 'sexual', 'health']",from traditional herbal extracts to modern amino acids the cilexin formula supports many aspects of male sexual health shop now,"['from', 'traditional', 'herbal', 'extracts', 'to', 'modern', 'amino', 'acids', 'the', 'cilexin', 'formula', 'supports', 'many', 'aspects', 'of', 'male', 'sexual', 'health', 'shop', 'now']","['traditional', 'herbal', 'extracts', 'modern', 'amino', 'acids', 'cilexin', 'formula', 'supports', 'many', 'aspects', 'male', 'sexual', 'health', 'shop']","['tradit', 'herbal', 'extract', 'modern', 'amino', 'acid', 'cilexin', 'formula', 'support', 'mani', 'aspect', 'male', 'sexual', 'health', 'shop']","['traditional', 'herbal', 'extracts', 'modern', 'amino', 'acids', 'cilexin', 'formula', 'supports', 'many', 'aspects', 'male', 'sexual', 'health', 'shop']",5,Bulgaria
2022-05-13 08:10:48+00:00,1525025755327086593,"Fascinating to hear from @sreppou who is now presenting the use of #VR technologies developed by @iMedPhysAUTH to support #healthcare students' studies in challenging topics such as breaking bad news, empathy and palliative care. #CEPEH #digital #innovation #learning https://t.co/PRuOKiakj4",J_C_Henderson,"Nottingham, England",8,0,7,0,"Software developer & learning tech @UoN_SHS. FHEA. Scottish, husband and daddy. Fan of @HibernianFC. LWB @EdwaltonFC seniors. Wannabe musician.",249,"['VR', 'healthcare', 'CEPEH', 'digital', 'innovation', 'learning']",fascinating to hear from who is now presenting the use of vr technologies developed by to support healthcare students studies in challenging topics such as breaking bad news empathy and palliative care cepeh digital innovation learning,"['fascinating', 'to', 'hear', 'from', 'who', 'is', 'now', 'presenting', 'the', 'use', 'of', 'vr', 'technologies', 'developed', 'by', 'to', 'support', 'healthcare', 'students', 'studies', 'in', 'challenging', 'topics', 'such', 'as', 'breaking', 'bad', 'news', 'empathy', 'and', 'palliative', 'care', 'cepeh', 'digital', 'innovation', 'learning']","['fascinating', 'hear', 'presenting', 'use', 'vr', 'technologies', 'developed', 'support', 'healthcare', 'students', 'studies', 'challenging', 'topics', 'breaking', 'bad', 'news', 'empathy', 'palliative', 'care', 'cepeh', 'digital', 'innovation', 'learning']","['fascin', 'hear', 'present', 'use', 'vr', 'technolog', 'develop', 'support', 'healthcar', 'student', 'studi', 'challeng', 'topic', 'break', 'bad', 'news', 'empathi', 'palli', 'care', 'cepeh', 'digit', 'innov', 'learn']","['fascinating', 'hear', 'presenting', 'use', 'vr', 'technologies', 'developed', 'support', 'healthcare', 'students', 'studies', 'challenging', 'topics', 'breaking', 'bad', 'news', 'empathy', 'palliative', 'care', 'cepeh', 'digital', 'innovation', 'learning']",4,Bulgaria
2022-06-04 19:54:02+00:00,1533175263105802240,"During difficult times, it's important to take care of your mental health and those around you:
- Be patient with yourself and others.
- Take breaks from social media. 
- Spend time with your loved ones and offer support. https://t.co/kQhxWHDmGi",MontanaRedCross,Montana,3,0,1,1,Twitter stream for the American Red Cross of Montana,4108,,during difficult times its important to take care of your mental health and those around you be patient with yourself and others take breaks from social media spend time with your loved ones and offer support,"['during', 'difficult', 'times', 'its', 'important', 'to', 'take', 'care', 'of', 'your', 'mental', 'health', 'and', 'those', 'around', 'you', 'be', 'patient', 'with', 'yourself', 'and', 'others', 'take', 'breaks', 'from', 'social', 'media', 'spend', 'time', 'with', 'your', 'loved', 'ones', 'and', 'offer', 'support']","['difficult', 'times', 'important', 'take', 'care', 'mental', 'health', 'around', 'patient', 'others', 'take', 'breaks', 'social', 'media', 'spend', 'time', 'loved', 'ones', 'offer', 'support']","['difficult', 'time', 'import', 'take', 'care', 'mental', 'health', 'around', 'patient', 'other', 'take', 'break', 'social', 'media', 'spend', 'time', 'love', 'one', 'offer', 'support']","['difficult', 'times', 'important', 'take', 'care', 'mental', 'health', 'around', 'patient', 'others', 'take', 'breaks', 'social', 'media', 'spend', 'time', 'loved', 'ones', 'offer', 'support']",4,Bulgaria
2022-06-03 12:11:24+00:00,1532696451758837760,"The successes of the less vxd countries, the catastrophy for economies and health services due to lockdowns. People want to believe something else...the vx is safe and our economies were not destroyed by our own hand, but by Russia...or anything else. https://t.co/asGLJ2cKeh",RogertheGoodwin,"Thessaloniki, Greece",0,0,0,0,Truth. Objectivity. Empathy. Respect. Kindness.,319,,the successes of the less vxd countries the catastrophy for economies and health services due to lockdowns people want to believe something elsethe vx is safe and our economies were not destroyed by our own hand but by russiaor anything else,"['the', 'successes', 'of', 'the', 'less', 'vxd', 'countries', 'the', 'catastrophy', 'for', 'economies', 'and', 'health', 'services', 'due', 'to', 'lockdowns', 'people', 'want', 'to', 'believe', 'something', 'elsethe', 'vx', 'is', 'safe', 'and', 'our', 'economies', 'were', 'not', 'destroyed', 'by', 'our', 'own', 'hand', 'but', 'by', 'russiaor', 'anything', 'else']","['successes', 'less', 'vxd', 'countries', 'catastrophy', 'economies', 'health', 'services', 'due', 'lockdowns', 'people', 'want', 'believe', 'something', 'elsethe', 'vx', 'safe', 'economies', 'destroyed', 'hand', 'russiaor', 'anything', 'else']","['success', 'less', 'vxd', 'countri', 'catastrophi', 'economi', 'health', 'servic', 'due', 'lockdown', 'peopl', 'want', 'believ', 'someth', 'elseth', 'vx', 'safe', 'economi', 'destroy', 'hand', 'russiaor', 'anyth', 'els']","['successes', 'less', 'vxd', 'countries', 'catastrophy', 'economies', 'health', 'services', 'due', 'lockdowns', 'people', 'want', 'believe', 'something', 'elsethe', 'vx', 'safe', 'economies', 'destroyed', 'hand', 'russiaor', 'anything', 'else']",1,Bulgaria
2022-06-02 04:03:39+00:00,1532211314877136898,"@pitdesi @elonmusk We would like an official statement from @elonmusk on why he’s considering office to be more productive than own home? And how it will be supported mental health, new ways of collaboration and employee wellbeing regarding this matter. Also, how you will be solving retention? TY",Manuela_Paun,,0,0,0,0,Product designer. Sometimes visionary. Crystal girl✨ Nature lover 🏞️ Deep thinker 💭𝔢𝔩𝔢𝔞𝔯 𝔢𝔩𝔡𝔞𝔯 💫 Psychology enthusiast. Human rights activist.,311,,we would like an official statement from on why hes considering office to be more productive than own home and how it will be supported mental health new ways of collaboration and employee wellbeing regarding this matter also how you will be solving retention ty,"['we', 'would', 'like', 'an', 'official', 'statement', 'from', 'on', 'why', 'hes', 'considering', 'office', 'to', 'be', 'more', 'productive', 'than', 'own', 'home', 'and', 'how', 'it', 'will', 'be', 'supported', 'mental', 'health', 'new', 'ways', 'of', 'collaboration', 'and', 'employee', 'wellbeing', 'regarding', 'this', 'matter', 'also', 'how', 'you', 'will', 'be', 'solving', 'retention', 'ty']","['would', 'like', 'official', 'statement', 'hes', 'considering', 'office', 'productive', 'home', 'supported', 'mental', 'health', 'new', 'ways', 'collaboration', 'employee', 'wellbeing', 'regarding', 'matter', 'also', 'solving', 'retention', 'ty']","['would', 'like', 'offici', 'statement', 'he', 'consid', 'offic', 'product', 'home', 'support', 'mental', 'health', 'new', 'way', 'collabor', 'employe', 'wellb', 'regard', 'matter', 'also', 'solv', 'retent', 'ty']","['would', 'like', 'official', 'statement', 'hes', 'considering', 'office', 'productive', 'home', 'supported', 'mental', 'health', 'new', 'ways', 'collaboration', 'employee', 'wellbeing', 'regarding', 'matter', 'also', 'solving', 'retention', 'ty']",4,Bulgaria
