Date,Id,Tweet,Username,Location,likeCount,replyCount,retweetCount,quoteCount,userDescription,userFollowers,hashtags,Cleaned_Tweet,Tweet_tokenized,Tweet_removed_stop_word,Tweet_stemmed,Tweet_lemmatized,sentiment,Country
2022-06-02 18:08:59+00:00,1532424050211176448,"@sirloincloth @ARmastrangelo @PrisonPlanet No one care about their business, they can lose their millions from middle East or u want to tell me u've a high salary in ur country?! U only pay tax &amp; now double price without asking u to support Ukraine! Suddenly for sure🤮💆🏻‍♀️",EDASHTI92,Kuwait,0,0,0,0,Freedom. Respect. Sarcastic 🦂,168,,no one care about their business they can lose their millions from middle east or u want to tell me uve a high salary in ur country u only pay tax amp now double price without asking u to support ukraine suddenly for sure,"['no', 'one', 'care', 'about', 'their', 'business', 'they', 'can', 'lose', 'their', 'millions', 'from', 'middle', 'east', 'or', 'u', 'want', 'to', 'tell', 'me', 'uve', 'a', 'high', 'salary', 'in', 'ur', 'country', 'u', 'only', 'pay', 'tax', 'amp', 'now', 'double', 'price', 'without', 'asking', 'u', 'to', 'support', 'ukraine', 'suddenly', 'for', 'sure']","['one', 'care', 'business', 'lose', 'millions', 'middle', 'east', 'u', 'want', 'tell', 'uve', 'high', 'salary', 'ur', 'country', 'u', 'pay', 'tax', 'amp', 'double', 'price', 'without', 'asking', 'u', 'support', 'ukraine', 'suddenly', 'sure']","['one', 'care', 'busi', 'lose', 'million', 'middl', 'east', 'u', 'want', 'tell', 'uve', 'high', 'salari', 'ur', 'countri', 'u', 'pay', 'tax', 'amp', 'doubl', 'price', 'without', 'ask', 'u', 'support', 'ukrain', 'suddenli', 'sure']","['one', 'care', 'business', 'lose', 'millions', 'middle', 'east', 'u', 'want', 'tell', 'uve', 'high', 'salary', 'ur', 'country', 'u', 'pay', 'tax', 'amp', 'double', 'price', 'without', 'asking', 'u', 'support', 'ukraine', 'suddenly', 'sure']",1,Kuwait
2022-06-02 21:08:37+00:00,1532469255547019269,@LQx656 @apievfx No supporting it means making videos like LGBTQ awareness and going to or starting protest not supporting it means you don’t do anything like that type of stuff but u treat them like normal human beings,Skyzzbtw,Yes.,0,1,0,0,Content Creator X Editor for @SurpassGGS | Work(ed) With @KickerFN @M4tchWyd,950,,no supporting it means making videos like lgbtq awareness and going to or starting protest not supporting it means you dont do anything like that type of stuff but u treat them like normal human beings,"['no', 'supporting', 'it', 'means', 'making', 'videos', 'like', 'lgbtq', 'awareness', 'and', 'going', 'to', 'or', 'starting', 'protest', 'not', 'supporting', 'it', 'means', 'you', 'dont', 'do', 'anything', 'like', 'that', 'type', 'of', 'stuff', 'but', 'u', 'treat', 'them', 'like', 'normal', 'human', 'beings']","['supporting', 'means', 'making', 'videos', 'like', 'lgbtq', 'awareness', 'going', 'starting', 'protest', 'supporting', 'means', 'dont', 'anything', 'like', 'type', 'stuff', 'u', 'treat', 'like', 'normal', 'human', 'beings']","['support', 'mean', 'make', 'video', 'like', 'lgbtq', 'awar', 'go', 'start', 'protest', 'support', 'mean', 'dont', 'anyth', 'like', 'type', 'stuff', 'u', 'treat', 'like', 'normal', 'human', 'be']","['supporting', 'means', 'making', 'videos', 'like', 'lgbtq', 'awareness', 'going', 'starting', 'protest', 'supporting', 'means', 'dont', 'anything', 'like', 'type', 'stuff', 'u', 'treat', 'like', 'normal', 'human', 'beings']",1,Kuwait
2022-06-07 12:24:10+00:00,1534149213226942469,“Spend time with people who support your goals and vision. Spend time with people you can learn from. Spend time with people that are good for your mental health. Spend time with people who encourage you to grow.”,AzizSharaf98,"Jeddah, Kingdom of Saudi Arabia",2,0,0,0,"Medical laboratory internship student @DSFHospital. @ittihad @acmilan #Coffeholic. Mum: One day I will make you proud, I promise.",420,,spend time with people who support your goals and vision spend time with people you can learn from spend time with people that are good for your mental health spend time with people who encourage you to grow,"['spend', 'time', 'with', 'people', 'who', 'support', 'your', 'goals', 'and', 'vision', 'spend', 'time', 'with', 'people', 'you', 'can', 'learn', 'from', 'spend', 'time', 'with', 'people', 'that', 'are', 'good', 'for', 'your', 'mental', 'health', 'spend', 'time', 'with', 'people', 'who', 'encourage', 'you', 'to', 'grow']","['spend', 'time', 'people', 'support', 'goals', 'vision', 'spend', 'time', 'people', 'learn', 'spend', 'time', 'people', 'good', 'mental', 'health', 'spend', 'time', 'people', 'encourage', 'grow']","['spend', 'time', 'peopl', 'support', 'goal', 'vision', 'spend', 'time', 'peopl', 'learn', 'spend', 'time', 'peopl', 'good', 'mental', 'health', 'spend', 'time', 'peopl', 'encourag', 'grow']","['spend', 'time', 'people', 'support', 'goals', 'vision', 'spend', 'time', 'people', 'learn', 'spend', 'time', 'people', 'good', 'mental', 'health', 'spend', 'time', 'people', 'encourage', 'grow']",4,Kuwait
2022-06-05 11:34:57+00:00,1533412052064157697,Congratulations to @Getchefaa for being selected by Viva Technology and IFC - International Finance Corporation as one among 3 of the most supportive and impactful start-ups across the Health Tech Category @VivaTech @IFC_org https://t.co/2mydc7nWBr,500vc_mena,"Riyadh, Kingdom of Saudi Arabia",3,0,1,0,"The most active early-stage VC in MENA 🚀 Born in Silicon Valley, @500globalvc manages 2.7B+ AUM worldwide. 260+ MENA investments since 2012. #500Strong",9369,,congratulations to for being selected by viva technology and ifc international finance corporation as one among 3 of the most supportive and impactful startups across the health tech category,"['congratulations', 'to', 'for', 'being', 'selected', 'by', 'viva', 'technology', 'and', 'ifc', 'international', 'finance', 'corporation', 'as', 'one', 'among', '3', 'of', 'the', 'most', 'supportive', 'and', 'impactful', 'startups', 'across', 'the', 'health', 'tech', 'category']","['congratulations', 'selected', 'viva', 'technology', 'ifc', 'international', 'finance', 'corporation', 'one', 'among', '3', 'supportive', 'impactful', 'startups', 'across', 'health', 'tech', 'category']","['congratul', 'select', 'viva', 'technolog', 'ifc', 'intern', 'financ', 'corpor', 'one', 'among', '3', 'support', 'impact', 'startup', 'across', 'health', 'tech', 'categori']","['congratulations', 'selected', 'viva', 'technology', 'ifc', 'international', 'finance', 'corporation', 'one', 'among', '3', 'supportive', 'impactful', 'startups', 'across', 'health', 'tech', 'category']",5,Kuwait
2022-06-03 07:08:24+00:00,1532620199245107200,"@Ghummans drive cycle, situation now supports human health…",imranakhter_100,"Riyadh, Kingdom of Saudi Arabi",0,0,0,0,Generation Engineer,268,,drive cycle situation now supports human health,"['drive', 'cycle', 'situation', 'now', 'supports', 'human', 'health']","['drive', 'cycle', 'situation', 'supports', 'human', 'health']","['drive', 'cycl', 'situat', 'support', 'human', 'health']","['drive', 'cycle', 'situation', 'supports', 'human', 'health']",4,Kuwait
2022-06-02 19:23:22+00:00,1532442768240525340,"@Notlol_tv @TheBlackLilith @HardAppCider @RexPhilosophiae @GothamChess 😂 like the guy supporting “Yes, cops are paid to be shot. Dont want to get shot? Get another job.” Has any room to talk? I find it hard to beleive you’re a mental health grad if you’re this fucked up",Shadow183860871,Yes,0,1,0,0,It’s fun making people mad,27,,like the guy supporting yes cops are paid to be shot dont want to get shot get another job has any room to talk i find it hard to beleive youre a mental health grad if youre this fucked up,"['like', 'the', 'guy', 'supporting', 'yes', 'cops', 'are', 'paid', 'to', 'be', 'shot', 'dont', 'want', 'to', 'get', 'shot', 'get', 'another', 'job', 'has', 'any', 'room', 'to', 'talk', 'i', 'find', 'it', 'hard', 'to', 'beleive', 'youre', 'a', 'mental', 'health', 'grad', 'if', 'youre', 'this', 'fucked', 'up']","['like', 'guy', 'supporting', 'yes', 'cops', 'paid', 'shot', 'dont', 'want', 'get', 'shot', 'get', 'another', 'job', 'room', 'talk', 'find', 'hard', 'beleive', 'youre', 'mental', 'health', 'grad', 'youre', 'fucked']","['like', 'guy', 'support', 'ye', 'cop', 'paid', 'shot', 'dont', 'want', 'get', 'shot', 'get', 'anoth', 'job', 'room', 'talk', 'find', 'hard', 'beleiv', 'your', 'mental', 'health', 'grad', 'your', 'fuck']","['like', 'guy', 'supporting', 'yes', 'cops', 'paid', 'shot', 'dont', 'want', 'get', 'shot', 'get', 'another', 'job', 'room', 'talk', 'find', 'hard', 'beleive', 'youre', 'mental', 'health', 'grad', 'youre', 'fucked']",1,Kuwait
2022-05-16 18:02:11+00:00,1526261744284446722,"Survivors were savagely raped in front of family members. These victims still need psychological support, and health facilities across Tigray are in need of restoration. End the siege. #Justice4TigrayWomen #MothersDay2022 @UNDP @UNICEF @UN_HRC https://t.co/G3r9TzD3ga",samre_selam,,40,1,91,0,ሰላምኪ የርእየና ትግራይ 💔😪,361,"['Justice4TigrayWomen', 'MothersDay2022']",survivors were savagely raped in front of family members these victims still need psychological support and health facilities across tigray are in need of restoration end the siege justice4tigraywomen mothersday2022,"['survivors', 'were', 'savagely', 'raped', 'in', 'front', 'of', 'family', 'members', 'these', 'victims', 'still', 'need', 'psychological', 'support', 'and', 'health', 'facilities', 'across', 'tigray', 'are', 'in', 'need', 'of', 'restoration', 'end', 'the', 'siege', 'justice4tigraywomen', 'mothersday2022']","['survivors', 'savagely', 'raped', 'front', 'family', 'members', 'victims', 'still', 'need', 'psychological', 'support', 'health', 'facilities', 'across', 'tigray', 'need', 'restoration', 'end', 'siege', 'justice4tigraywomen', 'mothersday2022']","['survivor', 'savag', 'rape', 'front', 'famili', 'member', 'victim', 'still', 'need', 'psycholog', 'support', 'health', 'facil', 'across', 'tigray', 'need', 'restor', 'end', 'sieg', 'justice4tigraywomen', 'mothersday2022']","['survivors', 'savagely', 'raped', 'front', 'family', 'members', 'victims', 'still', 'need', 'psychological', 'support', 'health', 'facilities', 'across', 'tigray', 'need', 'restoration', 'end', 'siege', 'justice4tigraywomen', 'mothersday2022']",1,Kuwait
2022-05-15 08:10:41+00:00,1525750500532035584,“There is a mother here who was impregnated when 3 Eritrean soldiers &amp; 2 Ethiopian soldiers raped her. Now she can’t move her legs.” Rape victims are still in need of medication and mental health support. @LindaT_G @UN_Women #Justice4TigrayWomen https://t.co/gPdOBheuAX,samre_selam,,0,0,0,0,ሰላምኪ የርእየና ትግራይ 💔😪,361,['Justice4TigrayWomen'],there is a mother here who was impregnated when 3 eritrean soldiers amp 2 ethiopian soldiers raped her now she cant move her legs rape victims are still in need of medication and mental health support justice4tigraywomen,"['there', 'is', 'a', 'mother', 'here', 'who', 'was', 'impregnated', 'when', '3', 'eritrean', 'soldiers', 'amp', '2', 'ethiopian', 'soldiers', 'raped', 'her', 'now', 'she', 'cant', 'move', 'her', 'legs', 'rape', 'victims', 'are', 'still', 'in', 'need', 'of', 'medication', 'and', 'mental', 'health', 'support', 'justice4tigraywomen']","['mother', 'impregnated', '3', 'eritrean', 'soldiers', 'amp', '2', 'ethiopian', 'soldiers', 'raped', 'cant', 'move', 'legs', 'rape', 'victims', 'still', 'need', 'medication', 'mental', 'health', 'support', 'justice4tigraywomen']","['mother', 'impregn', '3', 'eritrean', 'soldier', 'amp', '2', 'ethiopian', 'soldier', 'rape', 'cant', 'move', 'leg', 'rape', 'victim', 'still', 'need', 'medic', 'mental', 'health', 'support', 'justice4tigraywomen']","['mother', 'impregnated', '3', 'eritrean', 'soldiers', 'amp', '2', 'ethiopian', 'soldiers', 'raped', 'cant', 'move', 'legs', 'rape', 'victims', 'still', 'need', 'medication', 'mental', 'health', 'support', 'justice4tigraywomen']",1,Kuwait
2022-05-15 08:09:52+00:00,1525750297834012673,"Survivors were savagely raped in front of family members. These victims still need psychological support, and health facilities across Tigray are in need of restoration. End the siege. #Justice4TigrayWomen #MothersDay2022 @UNDP @UNICEF @UN_HRC https://t.co/G3r9TzD3ga",samre_selam,,65,0,153,0,ሰላምኪ የርእየና ትግራይ 💔😪,361,"['Justice4TigrayWomen', 'MothersDay2022']",survivors were savagely raped in front of family members these victims still need psychological support and health facilities across tigray are in need of restoration end the siege justice4tigraywomen mothersday2022,"['survivors', 'were', 'savagely', 'raped', 'in', 'front', 'of', 'family', 'members', 'these', 'victims', 'still', 'need', 'psychological', 'support', 'and', 'health', 'facilities', 'across', 'tigray', 'are', 'in', 'need', 'of', 'restoration', 'end', 'the', 'siege', 'justice4tigraywomen', 'mothersday2022']","['survivors', 'savagely', 'raped', 'front', 'family', 'members', 'victims', 'still', 'need', 'psychological', 'support', 'health', 'facilities', 'across', 'tigray', 'need', 'restoration', 'end', 'siege', 'justice4tigraywomen', 'mothersday2022']","['survivor', 'savag', 'rape', 'front', 'famili', 'member', 'victim', 'still', 'need', 'psycholog', 'support', 'health', 'facil', 'across', 'tigray', 'need', 'restor', 'end', 'sieg', 'justice4tigraywomen', 'mothersday2022']","['survivors', 'savagely', 'raped', 'front', 'family', 'members', 'victims', 'still', 'need', 'psychological', 'support', 'health', 'facilities', 'across', 'tigray', 'need', 'restoration', 'end', 'siege', 'justice4tigraywomen', 'mothersday2022']",1,Kuwait
2022-05-12 12:32:01+00:00,1524729105945661442,“There is a mother here who was impregnated when 3 Eritrean soldiers &amp; 2 Ethiopian soldiers raped her. Now she can’t move her legs.” Rape victims are still in need of medication and mental health support. @LindaT_G @UN_Women #Justice4TigrayWomen https://t.co/75qHuS79pQ,samre_selam,,80,0,154,1,ሰላምኪ የርእየና ትግራይ 💔😪,361,['Justice4TigrayWomen'],there is a mother here who was impregnated when 3 eritrean soldiers amp 2 ethiopian soldiers raped her now she cant move her legs rape victims are still in need of medication and mental health support justice4tigraywomen,"['there', 'is', 'a', 'mother', 'here', 'who', 'was', 'impregnated', 'when', '3', 'eritrean', 'soldiers', 'amp', '2', 'ethiopian', 'soldiers', 'raped', 'her', 'now', 'she', 'cant', 'move', 'her', 'legs', 'rape', 'victims', 'are', 'still', 'in', 'need', 'of', 'medication', 'and', 'mental', 'health', 'support', 'justice4tigraywomen']","['mother', 'impregnated', '3', 'eritrean', 'soldiers', 'amp', '2', 'ethiopian', 'soldiers', 'raped', 'cant', 'move', 'legs', 'rape', 'victims', 'still', 'need', 'medication', 'mental', 'health', 'support', 'justice4tigraywomen']","['mother', 'impregn', '3', 'eritrean', 'soldier', 'amp', '2', 'ethiopian', 'soldier', 'rape', 'cant', 'move', 'leg', 'rape', 'victim', 'still', 'need', 'medic', 'mental', 'health', 'support', 'justice4tigraywomen']","['mother', 'impregnated', '3', 'eritrean', 'soldiers', 'amp', '2', 'ethiopian', 'soldiers', 'raped', 'cant', 'move', 'legs', 'rape', 'victims', 'still', 'need', 'medication', 'mental', 'health', 'support', 'justice4tigraywomen']",1,Kuwait
